part_number,name_en,category,years,engines,confidence,audit_status,occurrence_count,source_count,first_evidence
00922-50510,Ring-Retaining,brake,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,"BRAKE SPRING-ADJUSTING,ﺧﻠﻔﻲ ﻓﺮاﻣﻞ 02 TB42S +TD42 10.1991 - 12.1993 44135 0092250510 RING-RETAINING ﺷﻨﺒﺮRETAINING 02 TB42S +TD42 10.1991 - 12.1993"
01111-00182,Bolt,general,"1988,1989,1990,1991",,75,مدقق آليًا,4,4,0092310810 ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 46560E 0111100182 BOLT ﻣﺴﻤﺎﺭ 01
01111-01051,Bolt,general,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,24,7,01 ME.TB42S.(GL+SGL) +ME.TD42 +GEN.(TB42S+TD42).DX 10.1991 - 08.1993 49010A 0111101051 BOLT ﻣﺴﻤﺎر 04 ME.TB42S.(GL+SGL) +ME.TD42 +GEN.(TB42S+TD42).DX
01111-01411,Bolt,brake,"1991,1992,1993","TB42S,TD42",82,مدقق آليًا,6,4,"41217M 4113937J01 PIN-LOCK ﺗﺮﺟﻤﺔ ﻓﻨﻴﺔ ﻣﻄﻠﻮﺑﺔ 02 ME.TB42S +ME.TD42 10.1991 - 08.1993 41000A 0111101411 BOLT ﻣﺴﻤﺎر 04 ME.TB42S +ME.TD42 10.1991 - 08.1993 41000K 4106037J91 PAD KIT-DISC BRAKE,FRONT"
01121-00022,Bolt,general,"1988,1989,1990,1991",,75,مدقق آليًا,4,4,089111062G ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 55270B 0112100022 BOLT ﻣﺴﻤﺎﺭ 04
01121-01301,Bolt,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997","RB30S,TB42S",100,مدقق آليًا بدرجة عالية,458,12,+W.(ME.2S/S.3S/S+GEN.2S/S.3SL) +HW +HV 10.1991 - 08.1993 87501A 0112101301 BOLT ﻣﺴﻤﺎﺭ 08
01121-01321,Bolt,general,"1988,1989,1990,1991",,80,مدقق آليًا,8,4,W LH | 08.1995 - ... 87510A 0112101321 BOLT ﻣﺴﻤﺎﺭ 10
01121-01391,Bolt,general,"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",,95,مدقق آليًا بدرجة عالية,74,12,W.SGL 10.1991 - 08.1993 87510A 0112101391 BOLT ﻣﺴﻤﺎﺭ 20
01121-01591,Screw,general,"1988,1989,1990,1991",RB30S,85,مدقق آليًا بدرجة عالية,4,4,RB30S MITSUBISHI | 10.1994 - ... 22100A 0112101591 SCREW ﻳﺘﻄﻠﺐ ﺍﻟﺘﺤﻘﻖ 01
01121-01611,Bolt,general,"1988,1989,1990,1991",,80,مدقق آليًا,4,4,K.2P +K.5P +W.5P +W.6P +HW.5P 08.1987 - 10.1991 65610A 0112101611 BOLT ﻣﺴﻤﺎﺭ 03
01121-02561,Bolt,general,"1988,1989,1990,1991,1992,1993","TB42S,TD42",97,مدقق آليًا بدرجة عالية,10,7,02 (K+HK+W+HW+HV). (TB42S+TD42) 10.1991 - 08.1993 17271A 0112102561 BOLT ﻣﺴﻤﺎر 06 (K+HK+W+HV).(TB42S+TD42)10.1991 - 08.1993 17336 0217300720 HOSE-EVAPORATION
