"market","model_filter","year_filter","detected_generation","year_applicability_status","vid","raw_text","vehicle_url","source_file"
"General/Asia (LHD)","SAFARI","1997","Y61","applies","213768","SAFARI | WAGON | TB45E | GRX | General/Asia (LHD) | Y61 | 08.1997 | 05.2001 | ","https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwE1ARB7ZF45ZFFJbDcLGW15WV5AMT4zMiAPPHRyQVVJTU9MCR4yWHZydkdRSFkfAgg1PFJBQUdTSiAmJWNGeiJiZyM5fgtuNllWIismIzEBBA4zM0QiKyYjMAEdCSUqISIzWTJQcRZuKyYjNVhBU1t8fGwlMF5NUyRcL35yJXMkOyAlVkBRHx1uKyYjbXQkOyN8CXo2JC0gJWNndXxqbDY3LSAla3NqOnJ2JyRGTCV7AAAAAAXjY2g%3D%24&vid=213768&q=","C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json"
"General/Asia (LHD)","SAFARI","1997","Y61","applies","213772","SAFARI | WAGON | TB45E | GRX | General/Asia (LHD) | Y61 | 08.1997 | 05.2001 | ","https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwFrX05RFjsTPQkvZnBiTzMnBwAeb2BtbH5RYiosHwsXExESV0BsBigsKBkPFgdBXFZrYgwfHxkNFH54ez0YJHw8OX1nIFUwaAcIfHV4fW9fWlBtbRp8dXh9bl9DV3t0f3xtB2wOL10wdXh9awYfDQUiIjJ7bgATDXoCcSAsey16ZX57CB4PQUMwdXh9Myp6ZX0iVyRoenN-ez05KyI0Mmhtc357NS00ZCwoeXoYEnslAAAAAE9RIT4%3D%24&vid=213772&q=","C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json"
"General/Asia (LHD)","SAFARI","1997","Y61","applies","213717","SAFARI | WAGON | TB42S | AD | General/Asia (LHD) | Y61 | 08.1997 | 07.1999 | ","https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwEoHA0de3JtdUpSKHULFHBkRENdLCMuLz0SIWlvXEhUUFJRFAMvRWtva1pMVUQCHxUoIU9cXFpOVz07OH5bZz9_ej4kYxZzK0RLPzY7PiwcGRMuKU8_Njs-LRwAFDg3PD8uRC9NbAtzNjs-KEVaWDxvbXMsRFFJOEYwPmEkJTghPD9KWk5fDm99OjlxbjghPDwae2A4Nzw_f31qPHltZTY7PnBocng8eW1zXVc-YAAAAAAiABpT%24&vid=213717&q=","C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json"
"General/Asia (LHD)","SAFARI","1997","Y61","applies","213718","SAFARI | WAGON | TB42S | GR | General/Asia (LHD) | Y61 | 08.1997 | 07.1999 | ","https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGUoLGExcrwkdOW8tu1sMzY-P_hkJ-Sk4GundXT4PTo7O7tqL-T-dfT1-bw6fi-o6mUnfPg4Oby64GHhMLn24PDxoKY36rPl_j3g4qHgpCgpa-SlfODioeCkaC8qISLgIOS-JPx0LfPioeClPng8oDT0c-Q-O31hPqMgt2YmYSdgIP25vLjstPBhoXN0oSdgICmx9yEi4CDw8HWgMXR2IqHgszUzsSAxdHP4euC3AAAAAAOPsMJ%24&vid=213718&q=","C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json"
"General/Asia (LHD)","SAFARI","1997","Y61","applies","213719","SAFARI | WAGON | TB42S | AD | General/Asia (LHD) | Y61 | 08.1997 | 07.1999 | ","https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwEmEgNrbVRNZW1GR3EBCn5qSk1TIi0gITMcL2dhUkZaXlxfGg0hS2VhZVRCW0oMERsmL0FSUlRAWTM1NnBVaTFxdDAqbRh9JUpFMTg1MCISFx0gJ0ExODUwIxIOGjY5MjEgSiFDYhB9ODUwJktUVjJhY30iSl9HNkg-MG8qKzYvMjFEVEBRAGFzNDd_YDYvMjIUdW42OTIxcXNkMndjaDg1MH5mfHYyd2N9U1kwbgAAAABHgnZn%24&vid=213719&q=","C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json"
"General/Asia (LHD)","SAFARI","1997","Y61","applies","213720","SAFARI | WAGON | TB42S | GR | General/Asia (LHD) | Y61 | 08.1997 | 07.1999 | ","https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwHs2Mn-tOyHuOfp7OjjxLSggIeZ6Ofq6_nW5a2rmIyQlJaV0Mfrga-rr56IkYDG29Hs5YuYmJ6Kk_n__Lqfo_u7vvrgp9K374CP-_L_-ujY3dfq7Yv78v_66djE0Pzz-PvqgOuJqNq38v_67IGYivirqbfogJWN_IL0-qXg4fzl-PuOnoqbyqu5_v21qvzl-Pjev6T88_j7u7mu-L2prfL_-rSstrz4vam3mZP6pAAAAADoUQX6%24&vid=213720&q=","C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json"
"General/Asia (LHD)","SAFARI","1997","Y61","applies","213721","SAFARI | WAGON | TB42S | STD | General/Asia (LHD) | Y61 | 08.1997 | 07.1999 | ","https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwEgFAU7RHQnclwjZF15AHhsTEtVJCsmJzUaKWFnVEBcWFpZHAsnTWNnY1JEXUwKFx0gKUdUVFJGXzUzMHZTbzd3cjYsax57I0xDNz4zNiQUERsmIUc3PjM2JRQIHDA_NDcmTCdFZBZ7PjM2IE1AQFJpaXkwJUtYRjFJOmtnMGYxLjUwQ1VECgh7PjM2eGExLjZpHG8jMTg1MHZyYGl_eSQ_NDd_YX1yaX95MFRYN28AAAAAHFU0nQ%3D%3D%24&vid=213721&q=","C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json"
"General/Asia (LHD)","SAFARI","1997","Y61","applies","213765","SAFARI | WAGON | TB45E | AD | General/Asia (LHD) | Y61 | 08.1997 | 09.2001 | ","https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwFuWksiGzoYIwxqYxNHbDYiAgUbamVoaXtUZy8pGg4SFhQXUkVpAy0pLRwKEwJEWVNuZwkaGhwIEXt9fjgdIXk5PHhiJVA1bQINeXB9eGpaX1VoaB95cH14a1pGUn5xenloAmkLKk01cH14bgMcHnopKzVqAhsPfgB2eCdiY35nenkMHAgZSCk7fH83KH5nenpcPSZ-cXp5OTssej8rJmxxenkxLzM8JzE3fhoWeSEAAAAAPBA-XQ%3D%3D%24&vid=213765&q=","C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json"
"General/Asia (LHD)","SAFARI","1997","Y61","applies","213767","SAFARI | WAGON | TB45E | GRX | General/Asia (LHD) | Y61 | 08.1997 | 09.2001 | ","https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGtmYix2MrB2sapy66Qq_XhwcbYqaarqriXpOzq2c3R1dfUkYaqwO7q7t_J0MGHmpCtpMrZ2d_L0ri-vfve4rr6_7uh5pP2rsHOurO-u6mZnJarq9y6s767qJmFkb2yubqrwarI6Y72s767rcDZy8Pk5PS9qMbZy7zEt-bqveu8o7i9ztjJh4X2s7679ey8o7vkkeKuvLW4vfv_7eTy9K6stbi98-vyouruv7ze1L3jAAAAAJuOCH4%3D%24&vid=213767&q=","C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json"
"General/Asia (LHD)","SAFARI","1997","Y61","applies","213769","SAFARI | WAGON | TB45E | AD | General/Asia (LHD) | Y61 | 08.1997 | 09.2001 | ","https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwFYbH1iNR4UPTwJWgV-ZAAUNDMtXFNeX01iURkfLDgkICIhZHNfNRsfGyo8JTRyb2VYUT8sLCo-J01LSA4rF08PCk5UE2YDWzQ7T0ZLTlxsaWNeXilPRktOXWxwZEhHTE9eNF89HG4DRktOWDUqKEwfHQNcNC05SDZAThFUVUhRTE86Kj4vfh8NSkkBHkhRTExqCxBIR0xPDw0aTAkdEF5HTE8HGQUKEQcBSCwgTxcAAAAA2kRjTg%3D%3D%24&vid=213769&q=","C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json"
"General/Asia (LHD)","SAFARI","1997","Y61","applies","213770","SAFARI | WAGON | TB45E | AD | General/Asia (LHD) | Y61 | 08.1997 | 12.2009 | ","https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwHc6PnK3taqi5_YmpvC7ISQsLep2Nfa28nm1Z2bqLygpKal4PfbsZ-bn664obD26-Hc1buoqK66o8nPzIqvk8uLjsrQl-KH37C_y8LPytjo7efa2q3Lws_K2ej04MzDyMvasNu5mOqHws_K3LGurMibmYfYsKW9zLLEypXQ0czVyMu-rrqr-puJzs2FmszVyMjuj5TMw8jLi4meyI2ZlN3DyMuDnYGOlYOFzKiky5MAAAAAHeOKoA%3D%3D%24&vid=213770&q=","C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json"
