path,relative_path,name,length,sha256,pages,generation,category,priority,mtime,delivered_path
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\pre_y60\models\160_mq_mk_series.pdf,output\pdf\pre_y60\models\160_mq_mk_series.pdf,160_mq_mk_series.pdf,116681,1c3533ac6ae1482c7062aff9cf3a87581a098bca026af26ecfa1f5402aae6e7c,2,Pre_Y60,Pre-Y60,4,1782773267.117901,deliverables\final_patrol_catalogs\Pre_Y60\160_mq_mk_series.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\pre_y60\models\260_series.pdf,output\pdf\pre_y60\models\260_series.pdf,260_series.pdf,112358,feaead9fb07d7dc8242476a94c03e645d50242fcf81d355f7f68496bb014a96e,2,Pre_Y60,Pre-Y60,4,1782773277.3830738,deliverables\final_patrol_catalogs\Pre_Y60\260_series.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\pre_y60\models\4w60_4w_series.pdf,output\pdf\pre_y60\models\4w60_4w_series.pdf,4w60_4w_series.pdf,113351,42b79e37cc5472d5c6162673749049fe685962a2d6fcda276000cdebe103e33b,2,Pre_Y60,Pre-Y60,4,1782773289.3312707,deliverables\final_patrol_catalogs\Pre_Y60\4w60_4w_series.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\pre_y60\models\60_g60_series.pdf,output\pdf\pre_y60\models\60_g60_series.pdf,60_g60_series.pdf,112853,71d57577b239a62d0e4f510fa4bd9856753a18897b36e71a979ee7d0663829a4,2,Pre_Y60,Pre-Y60,4,1782773298.5895085,deliverables\final_patrol_catalogs\Pre_Y60\60_g60_series.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\pre_y60\nissan_patrol_pre_y60_catalog_index.pdf,output\pdf\pre_y60\nissan_patrol_pre_y60_catalog_index.pdf,nissan_patrol_pre_y60_catalog_index.pdf,107571,41f193b10b2b264cd80b92325090602153c22d241bd03093507de671e5d01934,2,Pre_Y60,Pre-Y60,4,1782702736.232555,deliverables\final_patrol_catalogs\Pre_Y60\nissan_patrol_pre_y60_catalog_index.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\missing_epc_plates_report.pdf,output\pdf\missing_epc_plates_report.pdf,missing_epc_plates_report.pdf,181543,e911dc69957d75ed3bfb44cd9f16acd60f11ba5b8f69e1f15f7cafe44711e771,3,Reports,Missing EPC Plates Report,6,1782446262.6874306,deliverables\final_patrol_catalogs\Reports\missing_epc_plates_report.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\patrol_iab_merged_master.pdf,output\pdf\patrol_iab_merged_master.pdf,patrol_iab_merged_master.pdf,139241761,98cca7df86b039df9fc44bfdc223196afa26fdf83281532139b13b5d8afd45a4,10955,Y60,Y60 master,6,1783018929.090789,deliverables\final_patrol_catalogs\Y60\patrol_iab_merged_master.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\full_y60\03c0edcc0762_Australia_RHD_WAGON_TD42_STD.pdf,output\pdf\full_y60\03c0edcc0762_Australia_RHD_WAGON_TD42_STD.pdf,03c0edcc0762_Australia_RHD_WAGON_TD42_STD.pdf,37308683,8f2563025e6b744100e4fea2dd5e4761d04ab4903e851392607cef2e2c309225,459,Y60,Y60 vehicle,1,1782698889.6697206,deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\03c0edcc0762_Australia_RHD_WAGON_TD42_STD.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\full_y60\1a2cce93926e_Australia_RHD_PICKUP_A-CHASSIS_TD42_STD.pdf,output\pdf\full_y60\1a2cce93926e_Australia_RHD_PICKUP_A-CHASSIS_TD42_STD.pdf,1a2cce93926e_Australia_RHD_PICKUP_A-CHASSIS_TD42_STD.pdf,5751068,444885659a6f66c9787f4425d8d623f4273182eefff01dcfd59988d127605ba3,112,Y60,Y60 vehicle,1,1782453171.0973723,deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\1a2cce93926e_Australia_RHD_PICKUP_A-CHASSIS_TD42_STD.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\full_y60\1cc9750d3ef3_Australia_RHD_WAGON_RB30S_DX_3.0ST.pdf,output\pdf\full_y60\1cc9750d3ef3_Australia_RHD_WAGON_RB30S_DX_3.0ST.pdf,1cc9750d3ef3_Australia_RHD_WAGON_RB30S_DX_3.0ST.pdf,13361713,9db9b2c248a9c828ad8905362b327afb66bde922eece990e086c4e22e9d11a34,177,Y60,Y60 vehicle,1,1782453192.129503,deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\1cc9750d3ef3_Australia_RHD_WAGON_RB30S_DX_3.0ST.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\full_y60\51e204eaf15f_Australia_RHD_PICKUP_A-CHASSIS_TB42S_STD.pdf,output\pdf\full_y60\51e204eaf15f_Australia_RHD_PICKUP_A-CHASSIS_TB42S_STD.pdf,51e204eaf15f_Australia_RHD_PICKUP_A-CHASSIS_TB42S_STD.pdf,7466832,9335d3c1fc5aab6e576702080c4caf788603a487adb1429f73da6486cd63f59b,147,Y60,Y60 vehicle,1,1782453204.4715474,deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\51e204eaf15f_Australia_RHD_PICKUP_A-CHASSIS_TB42S_STD.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\full_y60\631ccb7b89bc_Australia_RHD_HARDTOP_TD42_STD.pdf,output\pdf\full_y60\631ccb7b89bc_Australia_RHD_HARDTOP_TD42_STD.pdf,631ccb7b89bc_Australia_RHD_HARDTOP_TD42_STD.pdf,19070298,4424aaa92975828f00bc1751ef351bfaab0cd0b1f964c743ac52f0f136535403,262,Y60,Y60 vehicle,1,1782453226.0265837,deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\631ccb7b89bc_Australia_RHD_HARDTOP_TD42_STD.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\full_y60\75473392c7ca_Australia_RHD_PICKUP_TB42S_STD.pdf,output\pdf\full_y60\75473392c7ca_Australia_RHD_PICKUP_TB42S_STD.pdf,75473392c7ca_Australia_RHD_PICKUP_TB42S_STD.pdf,16093432,0e7cf0e6f63be501348ec74aaf96c02857fc1666448fbb5314525fab66099ee8,241,Y60,Y60 vehicle,1,1782453587.5349085,deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\75473392c7ca_Australia_RHD_PICKUP_TB42S_STD.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\full_y60\7c1844e0802d_Australia_RHD_HARDTOP_TD42_STD.pdf,output\pdf\full_y60\7c1844e0802d_Australia_RHD_HARDTOP_TD42_STD.pdf,7c1844e0802d_Australia_RHD_HARDTOP_TD42_STD.pdf,24229262,64e3419af42c29b7ecabe3867ca12c328165dd49eb6720b48d5559b40e9bd261,354,Y60,Y60 vehicle,1,1782453633.9201558,deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\7c1844e0802d_Australia_RHD_HARDTOP_TD42_STD.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\full_y60\9454a4eac8ca_Australia_RHD_WAGON_TD42_STD.pdf,output\pdf\full_y60\9454a4eac8ca_Australia_RHD_WAGON_TD42_STD.pdf,9454a4eac8ca_Australia_RHD_WAGON_TD42_STD.pdf,10330774,d8fbe5dba9e7cceae8ffac0172dff7014941fa3e341020e37800d65a4d6f9824,144,Y60,Y60 vehicle,1,1782453658.6222472,deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\9454a4eac8ca_Australia_RHD_WAGON_TD42_STD.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\Y60_1988-1997_all_11_catalogs_combined.pdf,output\pdf\Y60_1988-1997_all_11_catalogs_combined.pdf,Y60_1988-1997_all_11_catalogs_combined.pdf,131159414,4bc0b27e0ec3b09209dd17b703ce50fa7d7dc81845af3580876f65fe44226fb5,5281,Y60,Y60 vehicle,6,1782469780.4226596,deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\Y60_1988-1997_all_11_catalogs_combined.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\patrol_iab_merged\Y60_1988_201206_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf,output\pdf\patrol_iab_merged\Y60_1988_201206_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf,Y60_1988_201206_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf,5330455,5f9f5bb8aa2e741f6de0c73c60714e6bdaf762b7d18dc33086997452affe602c,368,Y60,Y60 vehicle,0,1783015397.4319637,deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\Y60_1988_201206_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\patrol_iab_merged\Y60_1988_201207_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf,output\pdf\patrol_iab_merged\Y60_1988_201207_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf,Y60_1988_201207_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf,7256469,7e72a94be04a70f4b5dfc61f25a015e213bdb7d9bc488b2d3408304d55ec78a1,565,Y60,Y60 vehicle,0,1783015417.6347556,deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\Y60_1988_201207_General_Asia_LHD_HIGH_ROOF_TB42S_STD.pdf
C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\patrol_iab_merged\Y60_1988_201209_General_Asia_LHD_HIGH_ROOF_TD42_STD.pdf,output\pdf\patrol_iab_merged\Y60_1988_201209_General_Asia_LHD_HIGH_ROOF_TD42_STD.pdf,Y60_1988_201209_General_Asia_LHD_HIGH_ROOF_TD42_STD.pdf,5380501,354a5f4b96625a35b1906a8acc56ce604008d7a7461a82f92edc3d278bee210a,449,Y60,Y60 vehicle,0,1783015432.163209,deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\Y60_1988_201209_General_Asia_LHD_HIGH_ROOF_TD42_STD.pdf
