sha256,duplicate_type,kept,duplicate,length
48c5b1466ea0099dec43e24510d151f79e349fed5808318bf37dbc5f5be895ac,Logical duplicate: Y60_SOURCE_WGY60348567,output\pdf\wgy60348567_partsouq_catalog.pdf,output\pdf\full_y60\WGY60348567_General_Asia_LHD_WAGON_TB42S_SGL.reportlab.pdf,6466635
df7fbb37592328f009cc0d5138d6cb9e416fab154cfcb9bb942dee3de3947c86,Logical duplicate: Y60_SOURCE_B3D7B114A89A,output\pdf\full_y60\b3d7b114a89a_Australia_RHD_WAGON_RB30S_STD.pdf,output\pdf\available_missing_y60\b3d7b114a89a_Australia_RHD_WAGON_RB30S_STD.pdf,879772
df1ee49541f6cab027068b3473cec1a20b3935783b830714a8bd8bf59932b75b,Logical duplicate: Y60_SOURCE_D074A6710CF6,output\pdf\full_y60\d074a6710cf6_Australia_RHD_HARDTOP_TD42_DX.pdf,output\pdf\available_missing_y60\d074a6710cf6_Australia_RHD_HARDTOP_TD42_DX.pdf,185778
c2b22602d0c93d807b27c9896c59f48ce11c50a8ac01cf9fe8f9a3f7739018ad,Logical duplicate: Y60_YEAR_Y60 1988,output\pdf\yearly_with_available_missing\Y60 1988.pdf,output\pdf\yearly_with_wgy60348567\Y60 1988.pdf,12032111
9f7f38872b294b8ab648ef026e7e18de0f03a73541ae87322f9355c347e14387,Logical duplicate: Y60_YEAR_Y60 1988,output\pdf\yearly_with_available_missing\Y60 1988.pdf,output\pdf\yearly\Y60 1988.pdf,8443239
6679986ef77e4bc38ee1c0cc45f25a75251d9af482785aa9124e023791b49f40,Logical duplicate: Y60_YEAR_Y60 1989,output\pdf\yearly_with_available_missing\Y60 1989.pdf,output\pdf\yearly_with_wgy60348567\Y60 1989.pdf,12019489
631db6cb75c15293d2dd200381f0f9581e11100fc5cc3502bb509feaf709cb57,Logical duplicate: Y60_YEAR_Y60 1989,output\pdf\yearly_with_available_missing\Y60 1989.pdf,output\pdf\yearly\Y60 1989.pdf,8368117
f3b07f092c96aded9845dc643a86b2f05b9ee2729abfa1019c32bca21f0923a4,Logical duplicate: Y60_YEAR_Y60 1990,output\pdf\yearly_with_available_missing\Y60 1990.pdf,output\pdf\yearly_with_wgy60348567\Y60 1990.pdf,11952670
5e37e0941dbb153fa295e50941977abd874108332d650011d455b558f36797d8,Logical duplicate: Y60_YEAR_Y60 1990,output\pdf\yearly_with_available_missing\Y60 1990.pdf,output\pdf\yearly\Y60 1990.pdf,8119056
250e0d84c73eeb3e1fe6d6969f1748d7405687c9f963be67257a359769ce794b,Logical duplicate: Y60_YEAR_Y60 1991,output\pdf\yearly_with_available_missing\Y60 1991.pdf,output\pdf\yearly\Y60 1991.pdf,14728708
0f9973e6ef190d038ef14923b787993df8b13cb2dacd1c7d8b32d9a1b6df58d5,Logical duplicate: Y60_YEAR_Y60 1991,output\pdf\yearly_with_available_missing\Y60 1991.pdf,output\pdf\yearly_with_wgy60348567\Y60 1991.pdf,13669571
7d290a4229c4551c304c8405d8ba7449eea23065b810c11bfc2965259ea8999f,Logical duplicate: Y60_YEAR_Y60 1992,output\pdf\yearly\Y60 1992.pdf,output\pdf\yearly_with_available_missing\Y60 1992.pdf,13711697
