generation,vid,year,market,body,engine,grade,status
Verification Required,209299,1988,General/Asia (LHD),PICKUP,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,209298,1988,General/Asia (LHD),PICKUP,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,209295,1988,General/Asia (LHD),PICKUP,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,209487,1988,General/Asia (LHD),PICKUP,TD42,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,209484,1988,General/Asia (LHD),PICKUP,TD42,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,213707,1988,General/Asia (LHD),WAGON,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,213703,1988,General/Asia (LHD),WAGON,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,213704,1988,General/Asia (LHD),WAGON,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,213708,1988,General/Asia (LHD),WAGON,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,213731,1988,General/Asia (LHD),WAGON,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,213728,1988,General/Asia (LHD),WAGON,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,213729,1988,General/Asia (LHD),WAGON,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,213976,1988,General/Asia (LHD),WAGON,TD42,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,214013,1988,General/Asia (LHD),WAGON,TD42,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,214014,1988,General/Asia (LHD),WAGON,TD42,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,201346,1989,General/Asia (LHD),HIGH ROOF WAGON,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,201345,1989,General/Asia (LHD),HIGH ROOF WAGON,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,201363,1989,General/Asia (LHD),HIGH ROOF WAGON,TD42,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,213734,1989,General/Asia (LHD),WAGON,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,214019,1989,General/Asia (LHD),WAGON,TD42,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,213974,1990,General/Asia (LHD),WAGON,TD42,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,213977,1990,General/Asia (LHD),WAGON,TD42,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,202153,1991,General/Asia (LHD),HARDTOP,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,202162,1991,General/Asia (LHD),HARDTOP,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,202164,1991,General/Asia (LHD),HARDTOP,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,202173,1991,General/Asia (LHD),HARDTOP,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,202369,1991,General/Asia (LHD),HARDTOP,TD42,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,201322,1991,General/Asia (LHD),HIGH ROOF VAN,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,201321,1991,General/Asia (LHD),HIGH ROOF VAN,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,201324,1991,General/Asia (LHD),HIGH ROOF VAN,TD42,,Verification Required - no delivered vehicle PDF matched this VID
Verification Required,201329,1991,General/Asia (LHD),HIGH ROOF WAGON,TB42S,,Verification Required - no delivered vehicle PDF matched this VID
