"Action","Source","Destination","Hash"
"Copied","deliverables\translated_vehicle_pdfs_named\Y61_1997_Y61_1997_213768_General_Asia_LHD_WAGON_TB45E_GRX.pdf","deliverables\final_patrol_catalogs\Y61\Y61_1997_Y61_1997_213768_General_Asia_LHD_WAGON_TB45E_GRX.pdf","2B32BA76BCF46DD440BD9ECE8E90EAA86006D0D6C427F991F2E7581702712795"
"Copied","deliverables\translated_vehicle_pdfs_named\Y61_1997_Y61_1997_213772_General_Asia_LHD_WAGON_TB45E_GRX.pdf","deliverables\final_patrol_catalogs\Y61\Y61_1997_Y61_1997_213772_General_Asia_LHD_WAGON_TB45E_GRX.pdf","6677F86DAED977B9971CE21BB9BEF8B982EF022074C5531979AA4DE1583D848C"
"Copied","deliverables\translated_vehicle_pdfs_named\Y62_General_Asia_LHD_189471_General_Asia_LHD_VK56DE_SE_General_Asia_LHD.pdf","deliverables\final_patrol_catalogs\Y62\Y62_General_Asia_LHD_189471_General_Asia_LHD_VK56DE_SE_General_Asia_LHD.pdf","6F831CCEA6744AEC6B047CEBB44A3C7190BB45C34F121B161A4A344871DDD44A"
"Copied","deliverables\translated_vehicle_pdfs_named\160_mq_mk_series.pdf","deliverables\final_patrol_catalogs\Pre_Y60\160_mq_mk_series_9C3DB6D9.pdf","9C3DB6D9ADC52C1E9F7838F6E4041ABFBA796963B0F2219C908DC1838CF06647"
"Copied","deliverables\translated_vehicle_pdfs_named\260_series.pdf","deliverables\final_patrol_catalogs\Pre_Y60\260_series_60523EAF.pdf","60523EAF58064C864D0B8F2927441AFDDAFBD8F51E1F337C466B36824EEDCBD2"
"Copied","deliverables\translated_vehicle_pdfs_named\4w60_4w_series.pdf","deliverables\final_patrol_catalogs\Pre_Y60\4w60_4w_series_543EFF24.pdf","543EFF24D626969A439CED928FBB7B8663DAEBEF203A37787B2AE8949BCDAD8B"
"Copied","deliverables\translated_vehicle_pdfs_named\60_g60_series.pdf","deliverables\final_patrol_catalogs\Pre_Y60\60_g60_series_57D56EF1.pdf","57D56EF1029D9A71CFA0F594D3B45DE5A269D227E2693129552088374AB6890E"
"Copied","deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\1a2cce93926e_Australia_RHD_PICKUP_A-CHASSIS_TD42_STD.pdf","deliverables\final_patrol_catalogs\Pickup\1a2cce93926e_Australia_RHD_PICKUP_A-CHASSIS_TD42_STD.pdf","444885659A6F66C9787F4425D8D623F4273182EEFFF01DCFD59988D127605BA3"
"Copied","deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\51e204eaf15f_Australia_RHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","deliverables\final_patrol_catalogs\Pickup\51e204eaf15f_Australia_RHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","9335D3C1FC5AAB6E576702080C4CAF788603A487ADB1429F73DA6486CD63F59B"
"Copied","deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\75473392c7ca_Australia_RHD_PICKUP_TB42S_STD.pdf","deliverables\final_patrol_catalogs\Pickup\75473392c7ca_Australia_RHD_PICKUP_TB42S_STD.pdf","0E7CF0E6F63BE501348EC74AAF96C02857FC1666448FBB5314525FAB66099EE8"
"Copied","deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\Y60_1988_209840_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","deliverables\final_patrol_catalogs\Pickup\Y60_1988_209840_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","B9EAC434A0F9339024F0ED8AA3EE21D0BDFA4F87C80E9D1FF22500B005644612"
"Copied","deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\Y60_1988_209843_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","deliverables\final_patrol_catalogs\Pickup\Y60_1988_209843_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","EBEEEA002E188CC87100FA822378AC55A76F77867C0BD8329E348CFF75CC2839"
"Copied","deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\Y60_1988_209846_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf","deliverables\final_patrol_catalogs\Pickup\Y60_1988_209846_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf","0BC175A5C537C8F4A5B105EB54FB61B86842C79228A922ADFD0F58DE99D438E9"
"Copied","deliverables\final_patrol_catalogs\Y60\Vehicle_Model_Catalogs\Y60_1988_209849_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf","deliverables\final_patrol_catalogs\Pickup\Y60_1988_209849_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf","6CC5447BC8DDA73A2639B63DEDE8329C0A877F14073AFA4DB99CFDFB320E55D3"
"Copied","deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_209840_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","deliverables\final_patrol_catalogs\Pickup\Y60_1988_Y60_1988_209840_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","C2325DB4C6C8D23D59B649E1AB53277737E4B674ED3EF25518B69520E3090DBE"
"Copied","deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_209843_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","deliverables\final_patrol_catalogs\Pickup\Y60_1988_Y60_1988_209843_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.pdf","B7CFF277807670DBBE82AE8BC193168642B819036B56A7BB561752269CDF72F1"
"Copied","deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_209846_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf","deliverables\final_patrol_catalogs\Pickup\Y60_1988_Y60_1988_209846_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf","CE3712202C1D7B790F83616BDEF6029CBEB2B58EEED6ACEED6BE283E005EC064"
"Copied","deliverables\translated_vehicle_pdfs_named\Y60_1988_Y60_1988_209849_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf","deliverables\final_patrol_catalogs\Pickup\Y60_1988_Y60_1988_209849_General_Asia_LHD_PICKUP_A-CHASSIS_TD42_STD.pdf","5AA20E0F4857638803D46BD70C4AEE58618D6645E929BA650A159BA0159B2401"
