id,company_name,country,region,official_website,contact_email,contact_form,contact_person,phone,linkedin,x,facebook,instagram,parts_types,sells_oem,sells_aftermarket,supports_international_shipping,ships_to,site_languages,affiliate_program,api_available,partnership_program,link_terms,external_link_allowed,developer_program,legal_notes,importance_score,importance_reason,source_urls,verification_status,outreach,negotiation_status,last_updated,review_flags,recommended_next_action
almoosa-nissan-parts,Almoosa Specialist Nissan Parts,Saudi Arabia,GCC / Middle East,https://almousanissan.com,almousanissan@gmail.com,,,+966163621016,,https://x.com/almousanissan,,https://www.instagram.com/almousanissan,Nissan spare parts; Patrol parts; specialist retail,unknown_needs_confirmation,unknown_needs_confirmation,unknown_needs_confirmation,Saudi Arabia; unknown_needs_confirmation,ar,unknown,unknown,unknown,Needs written permission before being promoted as a verified buying option.,unknown_pending_written_permission,unknown,Existing app data marks this as a verified local Saudi source; written approval should be retained before public partner claims.,95,Local Saudi Nissan specialist and already present in the app data.,ios/BatalAlDroob/BatalAlDroob/Web/data/store_directory.json,existing_project_record,"{""status"": ""follow_up_sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": null, ""history"": [""Initial request sent via Gmail on 2026-07-02; the sent thread was verified on 2026-07-18."", ""Final follow-up sent via Gmail on 2026-07-18. Gmail message ID: 19f736ac3d9a3356.""]}",awaiting_reply_after_final_follow_up,2026-07-18,Existing outreach status came from project data; verify the sent email thread before follow-up.; Prior sent thread was verified in Gmail on 2026-07-18.,Do not send another follow-up. Wait for a reply and record it when received.
partsouq,PartSouq,United Arab Emirates,Global / Middle East,https://partsouq.com/en/,help@partsouq.com,https://partsouq.com/en/contacts,,,,,,,OEM catalog lookup; genuine parts; VIN/part number search,True,unknown,True,Worldwide / around 190 countries per public site,en,unknown,unknown,unknown,Request permission for OEM-number search deep links and clarify trademark/linking terms.,unknown_pending_written_permission,unknown,"Do not copy diagrams, prices, stock, or catalog data. Use only user-directed links after permission/legal review.",98,Large global genuine parts catalog with Nissan support and worldwide shipping.,https://partsouq.com/en/,public_source_reviewed,"{""status"": ""awaiting_written_link_permission"", ""last_sent_at"": ""2026-07-16"", ""next_follow_up_at"": null, ""history"": [""Initial collaboration request sent via Gmail on 2026-07-02."", ""PartSouq replied on 2026-07-03: their online catalog is free to use, but they do not collaborate and do not provide an API."", ""Written external-link permission request was received as support request #262821 on 2026-07-10."", ""One follow-up was sent on 2026-07-16; no final permission response recorded as of 2026-07-18.""]}",partnership_declined_link_permission_pending,2026-07-18,Do not claim partnership or API access; PartSouq explicitly declined both.; External-link permission remains pending in support request #262821.,Do not send another follow-up. Wait for PartSouq to answer the pending written link-permission request.
amayama,Amayama Trading,Japan / UAE,Global / Asia,https://www.amayama.com/en,,https://www.amayama.com/en/inquiry,,,,,https://www.facebook.com/AmayamaTrading/,,genuine Japanese vehicle parts; OEM lookup,True,unknown,True,International,en,unknown,unknown,unknown,Need permission before using OEM search links or partner positioning.,unknown_pending_written_permission,unknown,"Avoid copying catalog, price, availability, or images.",94,Known global source for Japanese OEM parts and already appears in the app candidate directory.,https://www.amayama.com/en; ios/BatalAlDroob/BatalAlDroob/Web/data/store_directory.json,public_source_and_project_record,"{""status"": ""manual_business_contact_required"", ""last_sent_at"": null, ""next_follow_up_at"": null, ""history"": []}",not_started_no_suitable_public_business_channel,2026-07-18,The official /en/inquiry route is a parts inquiry that requires vehicle identification and is not suitable for a partnership request.; No verified public business outreach email was found; Gmail cannot be used safely for this supplier.; The official Facebook page requires account sign-in before a message can be sent.,Use Amayama's authenticated account support or official Facebook page after a human signs in; do not enter a fictitious VIN or use the parts inquiry for a business request.
megazip,MegaZip,Japan / UAE,Global / Asia,https://www.megazip.net/parts/nissan,,https://www.megazip.net/info/contact,,,,,,,genuine OEM parts; Nissan catalog lookup,True,unknown,True,210+ countries per public site,en,unknown,unknown,unknown,Request written permission for direct part-number search links.,unknown_pending_written_permission,unknown,"Do not copy OEM diagrams, catalog pages, pricing, or availability.",96,Large genuine Nissan parts catalog with global delivery footprint.,https://www.megazip.net/parts/nissan; https://www.megazip.net/info/contact,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Email sent to info@megazip.net on 2026-07-02."", ""Delivery failed with SMTP 550 5.1.1 because the account does not exist."", ""Permission request submitted successfully through the official MegaZip contact widget on 2026-07-18; the site displayed a sent confirmation.""]}",awaiting_reply,2026-07-18,The previously used info@megazip.net address returned SMTP 550 5.1.1 on 2026-07-02 even though the current official contact page still publishes it. Do not retry it unless MegaZip confirms the address.,"Wait until 2026-07-25, then send one polite follow-up through the official contact widget only if no reply is received."
patrolapart,Patrolapart,Australia,Australia / Global,https://patrolapart.com.au/,sales@patrolapart.com.au,https://patrolapart.com.au/contact-us,,+61 3 9735 9099,,,,,Nissan Patrol parts; genuine Nissan; non-genuine parts; accessories,True,True,True,Worldwide dispatch per public site,en,unknown,unknown,unknown,Ask for permission to link users to Patrol part searches and product pages.,unknown_pending_written_permission,unknown,Use only links and approved brand references; no price/stock replication.,97,Dedicated Nissan Patrol specialist with worldwide dispatch.,https://patrolapart.com.au/about-us,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request sent via Gmail on 2026-07-18. Subject: Permission request for Nissan Patrol parts referrals from Batal Al-Droob. Gmail message ID: 19f736878adc296a.""]}",awaiting_reply,2026-07-18,,"Wait until 2026-07-25, then send one polite follow-up only if no reply or delivery error is received."
nissan-patrol-parts-npp,Nissan Patrol Parts (NPP),Australia,Australia,https://www.nissanpatrolparts.com/,sales@nissanpatrolparts.com,https://www.nissanpatrolparts.com/location,,+61 7 3807 7721 / +61 467 647 726,,,,,Nissan Patrol parts; specialist parts retail,unknown_needs_confirmation,unknown_needs_confirmation,unknown_needs_confirmation,Australia; unknown_needs_confirmation,en,unknown,unknown,unknown,Request permission for external store links and clarify shipping support.,unknown_pending_written_permission,unknown,No partnership claim until written approval.,91,Dedicated Nissan Patrol parts supplier in Australia.,https://www.nissanpatrolparts.com/location,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request sent via Gmail on 2026-07-18. Subject: Permission request for Nissan Patrol parts referrals from Batal Al-Droob. Gmail message ID: 19f73688baabd071.""]}",awaiting_reply,2026-07-18,,"Wait until 2026-07-25, then send one polite follow-up only if no reply or delivery error is received."
caraxis-uae,CarAxis,United Arab Emirates,GCC / Middle East,https://www.caraxis.com/nissan-spare-parts-uae,info@caraxis.com,https://www.caraxis.com/contact-us,,+971 4 123 4567,,,,,Nissan spare parts; Patrol parts; OEM; aftermarket,True,True,unknown_needs_confirmation,UAE; unknown_needs_confirmation,en,unknown,unknown,unknown,Request written linking/search permission and shipping coverage.,unknown_pending_written_permission,unknown,Do not imply official Nissan affiliation unless confirmed by CarAxis.,88,UAE supplier with Nissan Patrol OEM and aftermarket positioning.,https://www.caraxis.com/nissan-spare-parts-uae,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request sent via Gmail on 2026-07-18. Subject: Permission request for Nissan Patrol parts referrals from Batal Al-Droob. Gmail message ID: 19f7368abcd1a831.""]}",awaiting_reply,2026-07-18,Phone number from public search result must be manually verified before use.,"Wait until 2026-07-25, then send one polite follow-up only if no reply or delivery error is received."
nissanparts-ae,NissanParts.ae,United Arab Emirates,GCC / Middle East,https://nissanparts.ae/,info@nissanparts.ae,https://nissanparts.ae/pages/contact,,+971 529232514,,,,,Nissan genuine OEM parts; Patrol parts,True,False,unknown_needs_confirmation,UAE; unknown_needs_confirmation,en,unknown,unknown,unknown,Ask for permission to link by part number and clarify use of OEM references.,unknown_pending_written_permission,unknown,Use only approved external links; no catalog replication.,90,UAE Nissan OEM parts site with Patrol support.,https://nissanparts.ae/,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request sent via Gmail on 2026-07-18. Subject: Request to link Nissan Patrol users to NissanParts.ae. Gmail message ID: 19f73689b72dc3aa.""]}",awaiting_reply,2026-07-18,,"Wait until 2026-07-25, then send one polite follow-up only if no reply or delivery error is received."
nissanspareparts-ae,NissanSpareParts.ae,United Arab Emirates,GCC / Middle East,https://www.nissanspareparts.ae/,,https://www.nissanspareparts.ae/contact,,,,,,,Nissan Patrol parts; genuine; OEM; new; used; aftermarket,True,True,unknown_needs_confirmation,UAE; unknown_needs_confirmation,en,unknown,unknown,unknown,Use contact form to request linking/search permission and used-parts routing terms.,unknown_pending_written_permission,unknown,Separate used/new/OEM claims must be confirmed before app display.,87,UAE Patrol-specific parts source including used and aftermarket categories.,https://www.nissanspareparts.ae/,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request submitted through the official contact form on 2026-07-18. The form accepted the submission and redirected to the official home page; no reference number was displayed.""]}",awaiting_reply,2026-07-18,,"Wait until 2026-07-25, then send one polite follow-up through the official contact form only if no reply is received."
proparts-ae,Proparts,United Arab Emirates,GCC / Middle East,https://www.proparts.ae/,info@proparts.ae,https://www.proparts.ae/contact-us,,+971 55 667 6884,,,,,auto parts; genuine parts; OEM-quality parts,True,True,True,UAE; Saudi Arabia; Oman; Qatar; Bahrain; Kuwait,en,unknown,unknown,unknown,Ask for GCC routing permission and whether Nissan Patrol part-number searches are supported.,unknown_pending_written_permission,unknown,Confirm Nissan Patrol coverage and any brand-use terms.,82,GCC coverage and OEM-quality positioning.,https://www.proparts.ae/,public_source_reviewed,"{""status"": ""sent_awaiting_reply"", ""last_sent_at"": ""2026-07-18"", ""next_follow_up_at"": ""2026-07-25"", ""history"": [""Permission request sent via Gmail on 2026-07-18. Subject: Permission request for Nissan Patrol aftermarket parts referrals. Gmail message ID: 19f7368ba6d12a42.""]}",awaiting_reply,2026-07-18,,"Wait until 2026-07-25, then send one polite follow-up only if no reply or delivery error is received."
