plate_number,system_key,title_en,title_ar,exploded_diagram_reference,associated_parts_table,source_status,source_reference
Y60-001,engine,Engine - Master Verification Plate,المحرك - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_engine,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-002,cooling,Cooling - Master Verification Plate,نظام التبريد - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_cooling,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-003,fuel,Fuel - Master Verification Plate,نظام الوقود - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_fuel,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-004,ignition,Ignition - Master Verification Plate,نظام الإشعال - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_ignition,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-005,lubrication,Lubrication - Master Verification Plate,نظام التزييت - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_lubrication,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-006,exhaust,Exhaust - Master Verification Plate,نظام العادم - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_exhaust,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-007,electrical,Electrical - Master Verification Plate,النظام الكهربائي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_electrical,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-008,charging,Charging - Master Verification Plate,نظام الشحن - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_charging,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-009,starter,Starter - Master Verification Plate,نظام بادئ التشغيل - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_starter,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-010,body,Body - Master Verification Plate,الهيكل الخارجي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_body,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-011,frame,Frame - Master Verification Plate,الشاسيه - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_frame,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-012,doors,Doors - Master Verification Plate,الأبواب - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_doors,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-013,roof,Roof - Master Verification Plate,السقف - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_roof,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-014,dashboard,Dashboard - Master Verification Plate,لوحة العدادات - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_dashboard,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-015,interior,Interior - Master Verification Plate,الداخلية - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_interior,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-016,seats,Seats - Master Verification Plate,المقاعد - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_seats,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-017,glass,Glass - Master Verification Plate,الزجاج - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_glass,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-018,lighting,Lighting - Master Verification Plate,الإضاءة - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_lighting,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-019,hvac,HVAC - Master Verification Plate,التكييف والتدفئة والتهوية - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_hvac,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-020,front_ac,Front AC - Master Verification Plate,المكيف الأمامي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_front_ac,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-021,rear_cooler,Rear Cooler - Master Verification Plate,مبرد خلفي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_rear_cooler,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-022,ice_box,Ice Box - Master Verification Plate,صندوق تبريد - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_ice_box,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-023,suspension,Suspension - Master Verification Plate,نظام التعليق - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_suspension,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-024,steering,Steering - Master Verification Plate,نظام التوجيه - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_steering,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-025,brakes,Brakes - Master Verification Plate,نظام الفرامل - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_brakes,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-026,front_axle,Front Axle - Master Verification Plate,المحور الأمامي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_front_axle,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-027,rear_axle,Rear Axle - Master Verification Plate,المحور الخلفي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_rear_axle,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-028,transfer_case,Transfer Case - Master Verification Plate,علبة التحويل - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_transfer_case,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-029,manual_transmission,Manual Transmission - Master Verification Plate,ناقل الحركة اليدوي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_manual_transmission,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-030,automatic_transmission,Automatic Transmission - Master Verification Plate,ناقل الحركة الأوتوماتيكي - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_automatic_transmission,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-031,differentials,Differentials - Master Verification Plate,الدفرنسات - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_differentials,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-032,winch,Winch - Master Verification Plate,الونش - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_winch,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
Y60-033,factory_accessories,Factory Accessories - Master Verification Plate,إكسسوارات المصنع - لوحة تحقق رئيسية,VERIFICATION REQUIRED,parts_factory_accessories,UNVERIFIED PLACEHOLDER,VERIFICATION REQUIRED
