severity,check_id,record_id,message_en,message_ar
BLOCKER,missing_part_number,Y60-PART-0001,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0001,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0001,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0001,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0002,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0002,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0002,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0002,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0003,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0003,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0003,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0003,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0004,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0004,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0004,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0004,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0005,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0005,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0005,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0005,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0006,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0006,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0006,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0006,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0007,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0007,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0007,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0007,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0008,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0008,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0008,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0008,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0009,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0009,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0009,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0009,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0010,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0010,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0010,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0010,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0011,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0011,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0011,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0011,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0012,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0012,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0012,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0012,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0013,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0013,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0013,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0013,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0014,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0014,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0014,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0014,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0015,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0015,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0015,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0015,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0016,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0016,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0016,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0016,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0017,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0017,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0017,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0017,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0018,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0018,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0018,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0018,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0019,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0019,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0019,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0019,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0020,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0020,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0020,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0020,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0021,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0021,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0021,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0021,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0022,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0022,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0022,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0022,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0023,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0023,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0023,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0023,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0024,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0024,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0024,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0024,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0025,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0025,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0025,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0025,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0026,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0026,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0026,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0026,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0027,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0027,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0027,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0027,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0028,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0028,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_vin,Y60-PART-0028,missing_vin requires official Nissan source verification.,missing_vin يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_source,Y60-PART-0028,missing_source requires official Nissan source verification.,missing_source يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_part_number,Y60-PART-0029,missing_part_number requires official Nissan source verification.,missing_part_number يتطلب التحقق من مصدر رسمي من نيسان.
BLOCKER,missing_diagram,Y60-PART-0029,missing_diagram requires official Nissan source verification.,missing_diagram يتطلب التحقق من مصدر رسمي من نيسان.
