file,path,pages,bytes,status,limitation
Y60 1988.pdf,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\yearly\Y60 1988.pdf,230,8819739,PASS - PDF generated and pdfinfo readable,Complete EPC details included only for extracted WGY60348567 source; other model details marked Verification Required.
Y60 1989.pdf,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\yearly\Y60 1989.pdf,229,8771019,PASS - PDF generated and pdfinfo readable,Complete EPC details included only for extracted WGY60348567 source; other model details marked Verification Required.
Y60 1990.pdf,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\yearly\Y60 1990.pdf,222,8524043,PASS - PDF generated and pdfinfo readable,Complete EPC details included only for extracted WGY60348567 source; other model details marked Verification Required.
Y60 1991.pdf,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\yearly\Y60 1991.pdf,419,15974524,PASS - PDF generated and pdfinfo readable,Complete EPC details included only for extracted WGY60348567 source; other model details marked Verification Required.
Y60 1992.pdf,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\yearly\Y60 1992.pdf,390,14943588,PASS - PDF generated and pdfinfo readable,Complete EPC details included only for extracted WGY60348567 source; other model details marked Verification Required.
Y60 1993.pdf,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\yearly\Y60 1993.pdf,383,14761300,PASS - PDF generated and pdfinfo readable,Complete EPC details included only for extracted WGY60348567 source; other model details marked Verification Required.
Y60 1994.pdf,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\yearly\Y60 1994.pdf,215,8322345,PASS - PDF generated and pdfinfo readable,Complete EPC details included only for extracted WGY60348567 source; other model details marked Verification Required.
Y60 1995.pdf,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\yearly\Y60 1995.pdf,203,7805361,PASS - PDF generated and pdfinfo readable,Complete EPC details included only for extracted WGY60348567 source; other model details marked Verification Required.
Y60 1996.pdf,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\yearly\Y60 1996.pdf,197,7494520,PASS - PDF generated and pdfinfo readable,Complete EPC details included only for extracted WGY60348567 source; other model details marked Verification Required.
Y60 1997.pdf,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\output\pdf\yearly\Y60 1997.pdf,196,7468421,PASS - PDF generated and pdfinfo readable,Complete EPC details included only for extracted WGY60348567 source; other model details marked Verification Required.
