market,model_filter,year_filter,detected_generation,year_applicability_status,vid,raw_text,vehicle_url,source_file
Australia (RHD),,,Y62,applies,189494,SAFARI | WAGON 2 ROW | VK56VD | UPPER | Australia (RHD) | Y62 | 11.2012 | 07.2013 | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwEKPi8yC29HWm5-TW8vPlJGZmF_DgEMDR8wA0tNfmp2cnBzNiENZ0lNSXhud2YgPTcKA21-fnhsdR8ZGlx5RR1dWBwGQTRRCWYMbXduHBBBTUFnb3UKDm96Hk1PUQtmf2h8GxIcQ1ssbWluemobEhxDWiwPeGodZRUeHggbUQIZHG95a39xQ0NTGlRNHQIZHGVXXVEUGRxaXk8cBkFdXxgbU01RXRwGQU0yahtDAAAAACkYIUM%3D%24&vid=189494&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_all_generations_discovery.json
Australia (RHD),,,Y62,applies,189480,SAFARI | WAGON 2 ROW | VK56VD | BASE | Australia (RHD) | Y62 | 11.2012 | 07.2013 | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwFoXE1HYi8ObDk2DzN1XDAkBAMdbGNub31SYSkvHAgUEBIRVENvBSsvKxoMFQRCX1VoYQ8cHBoOF317eD4bJ38_On5kI1YzawRuDxUMfnIjLyMFDRdobA0YfC8tM2kEHQoeeXB-ITlOGBoPGHh3fHw2UiYbD34Adnt-N3cvK3p5DBwIGhF8Ly0zNyh-Z3p5BWgxLz16eTk7LHlmfjIhMXg2LjQ-eWZ-IUxDeCYAAAAA9jVKPg%3D%3D%24&vid=189480&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_all_generations_discovery.json
Canada,,,Y62,applies,190748,ARMADA | WAGON 3 ROW | VK56VD | SL | Canada | Y62 | 06.2016 | WHEEL DRIVE:4WD | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwFHc2JLNCMxNQ9GJRVEZx8LKywyQ0xBQFJ9TgYAMyc7Pz0-e2xAKgQABDUjOittcHpHTjIgODU3MFJUVxE0CFAQFVFLDHkcRCtAIDojUV0MAAwqIjhHQyI3UwACHEYrMiUxVl9RDhZhJjhRXlVWRi4bY2pXKV9SVx0HUxYCHCU1ITM4Vl9RDk9NV05TUCxCQVMAAhwQEgVQT1RAXQwAUwcdF1BPVFEybQBDAAAAAKf405g%3D%24&vid=190748&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_all_generations_discovery.json
Canada,,,Y62,applies,190742,ARMADA | WAGON 3 ROW | VK56VD | PLATINUM CP GRADE | Canada | Y62 | 06.2016 | WHEEL DRIVE:4WD | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGEsKGY_Obx8_70hsSkjtzI6O_xgI-Cg5G-jcXD8OT4_P79uK-D6cfDx_bg-eius7mEjfHj-_b085GXlNL3y5PT1pKIz7rfh-iD4_ngkp7Pw8_p4fuEgOH0kMPB34Xo8ebylZySzdWi5vvk8uaVnJLN1KKB9uST65uQkIaV34yXkuH35fH_zc3dlNrDk4yXkuvZ09-al5LU0MGSiM_T0ZaV3cPf05KIz8O-95XNAAAAAJTXXig%3D%24&vid=190742&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_all_generations_discovery.json
Canada,,,Y62,applies,190740,ARMADA | WAGON 3 ROW | VK56VD | PLATINUM GRADE | Canada | Y62 | 06.2016 | WHEEL DRIVE:4WD | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwH6zt-u_KqJlbiAiqbp7KK2lpGP_vH8_e_A87u9jpqGgoCDxtH9l7m9uYieh5bQzcf684-dhYiKje_p6qyJte2tqOz2scSh-Zb9nYee7OCxvbGXn4X6_p-K7r2_ofuWj5iM6-Lss6vcmIWa7eTp7PnOqMKc65Pj6OunuLOlo-qZj52JhOzgsb3uu-v07-qQ-P6zs6PqrKi56vPu_b2_oaW7p6vq8-7u0t6htQAAAACxsCLA%24&vid=190740&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_all_generations_discovery.json
Europe (LHD),,,Y62,applies,189493,PATROL | VK56VD | SE | Europe (LHD) | Y62 | 11.2014 | WHEEL DRIVE:4WD; AREA:RUSSIA | 7AT | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwFtWUgnKDc6CDM4DxJwbzUhAQYYaWZranhXZCwqGQ0RFRcUUUZqAC4qLh8JEAFHWlBtZAkZCwwWF3h-fTseIno6P3thJlM2bgFrChAJe3cmKiYACBJtaQgdeSooNmwBGA8bfHV7JDxLDQsKenN-e25ZW1F9cnl6aQFuGlIqSXN-ezErfGN7JFhVDR8UenN-ezZ1Ki5_fABubXx1eyRtcil8Y3htcnl5a3p9O3xjeH0bFXl7AAAAAK7b3PM%3D%24&vid=189493&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_all_generations_discovery.json
Europe (LHD),,,Y62,applies,189492,PATROL | VK56VD | LE | Europe (LHD) | Y62 | 03.2010 | 10.2012 | WHEEL DRIVE:4WD; AREA:RUSSIA | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGFsaCXhc6A5NDX3fWF0N3J6e7wgY6DgpC_jMTC8eX5_f_8ua6C6MbCxvfh-OmvsriFjOHx4-T-_5CWldP2ypLS15OJzrvehumD4vjhk5_Ows7o4PqFgeD1kcLA3oTp8OfzlJ2TzNSj5ePikpuWk4axrLmVmpGSgemG8rrCoZuWk9nDlIuTzLC95ff8kpuWk96dwsaXlOiGhZSdk8yFmsGUi5CGmpGRg5KV05SLkJXz_ZGTAAAAAJ2CEbo%3D%24&vid=189492&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_all_generations_discovery.json
Europe (LHD),,,Y62,applies,189495,PATROL | VK56VD | SE | Europe (LHD) | Y62 | 10.2013 | 11.2014 | WHEEL DRIVE:4WD | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwFfa3p_XDMRK1wZAw17VQcTMzQqW1RZWEplVh4YKz8jJyUmY3RYMhwYHC07IjN1aGJfVjsrOT4kJUpMTwksEEgIDUlTFGEEXDNZOCI7SUUUGBQyOiBfWzovSxgaBF4zKj0pTkdJFg95PilJRk1OXTYDe3JPMUdKTwUfSw4aBD0tOSsgTkdJFldVT1ZLSDRaWUsYGgQICh1IV0xZRRQYSx8FD0hXTEkseBhbAAAAALYrM-0%3D%24&vid=189495&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_all_generations_discovery.json
General/Asia (LHD),,,Y62,applies,189471,PATROL | VK56DE | SE | General/Asia (LHD) | Y62 | 01.2010 | WHEEL DRIVE:4WD; AREA:MIDDLE AND NEAR EAST | 5AT | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwEHMyIafwYFd2VxfAYcUl9La2xyAwwBABI9DkZAc2d7f31-OywAakRARHVjemstMDoHDmNzYWZ8fRIUF1F0SBBQVRELTDlcBGsBYHpjER1MQExqYngHA3B2E0BCXAZrcmVxFh8RTlYhcndwEBkUEQQzMTsXGBMQA2sGcDhAIxkUEVtBFgkRTjI_Z3V-EBkUEVwfQEQVFmoEBxYfEU4HGEMWCRIHGBMTARAXURYJEhdzfxMRAAAAAHBXx2o%3D%24&vid=189471&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_all_generations_discovery.json
General/Asia (LHD),,,Y62,applies,189487,PATROL | VK56VD | SE | General/Asia (LHD) | Y62 | 01.2010 | WHEEL DRIVE:4WD; AREA:MIDDLE AND NEAR EAST | 7AT | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwFKfm9kGSEEKCIaOwtvSBIGJiE_TkFMTV9wQwsNPio2MjAzdmFNJwkNCTguNyZgfXdKQy4-LCsxMF9ZWhw5BV0dGFxGAXQRSSZMLTcuXFABDQEnLzVKTi86Xg0PEUsmPyg8W1JcAxtsPzo9XVRZXEl-fHZaVV5dTiZJPXUNblRZXBYMW0RcA39yKjgzXVRZXBFSDQlYWydJSltSXANKVQ5bRF9JVV5eTF1aHFtEX1o-Ml5cAAAAADq4UKg%3D%24&vid=189487&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_all_generations_discovery.json
General/Asia (LHD),,,Y62,applies,189482,PATROL | VK56VD | LE | General/Asia (LHD) | Y62 | 01.2010 | WHEEL DRIVE:4WD; AREA:MIDDLE AND NEAR EAST | 7AT | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwEOOiscXkpISQ4Lfm0WMlZCYmV7CgUICRs0B09Jem5ydnR3MiUJY01JTXxqc2IkOTMOB2p6aG91dBsdHlh9QRlZXBgCRTBVDWIIaXNqGBRFSUVja3EOCmt-GklLVQ9ie2x4HxYYR18oe355GRAdGA06JzIeERoZCmINeTFJKhAdGFJIHwAYRzs2bnx3GRAdGFUWSU0cH2MNDh8WGEcOEUofABsIERoaCBkeWB8AGx56dhoYAAAAAJ-Mv4Q%3D%24&vid=189482&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_all_generations_discovery.json
