market,model_filter,year_filter,detected_generation,year_applicability_status,vid,raw_text,vehicle_url,source_file
General/Asia (LHD),SAFARI,1979,Y61,verification_required_year_filter_mismatch,202204,SAFARI | General/Asia (LHD) | GCY61 | 10.2017 | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwHm0sOt4Y2aq7untrf9zr6qio2T4u3g4fPc76ehkoaanpyf2s3hi6WhpZSCm4rM0dvm74GSkpSAmfP19rCVqfGxtPDqrdi95YqZ8fj18OLS193g7ZaW9vny8r7c2JeW8P_09-aPv9Cwh5z964T3_vCvtsCHgZbx-PXw5tLOy_aI_vP2vKbyt6O9hJSAkpn3_vCv7uz27_Lxk5aL5ryhs_T3t7Wi9-jwv6-_9rigurD36PCvxNP2qAAAAABq1Tw_%24&vid=202204&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json
General/Asia (LHD),SAFARI,1979,Y61,verification_required_year_filter_mismatch,202197,SAFARI | General/Asia (LHD) | GCY61 | 10.2017 | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGmkoONzd-j8aeg0_-_9_7qys3Toq2gobOcr-fh0sba3tzfmo2hy-Xh5dTC28qMkZumr8HS0tTA2bO1tvDV6bHx9LCq7Zj9pcrZsbi1sKKSl52grdbWtrmysv6cmNfWsL-0t6bP_5Dw0sK9psS3vrDv9oDV0bC_tLekz4yX_cm5srH94bCq7eGP1cfT3ra5srKgsP2utbDU18ykoe_v_7bw9OW2r7Km4eP9-ef797avsrKKj_3pAAAAAAsuXLU%3D%24&vid=202197&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json
General/Asia (LHD),SAFARI,1979,Y61,verification_required_year_filter_mismatch,202198,SAFARI | General/Asia (LHD) | GCY61 | 10.2017 | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwFgVEVGCyseYWQ_Mzw8YjgsDAsVZGtmZ3VaaSEnFAAcGBoZXEtnDSMnIxIEHQxKV11gaQcUFBIGH3VzcDYTL3c3MnZsK147Ywwfd35zdmRUUVtmaxAQcH90dDhaXhEQdnlycWAJOVY2FAR7YAJxeHYpMEYTF3Z5cnFiCUZROw9_dHc7J3ZsKydJEwEVGHB_dHRmdjtoc3YSEQpiZykpOXA2MiNwaXRjJyU7PyE9MXBpdHRMSTsvAAAAAAi_OT0%3D%24&vid=202198&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json
General/Asia (LHD),SAFARI,1979,Y61,verification_required_year_filter_mismatch,202199,SAFARI | General/Asia (LHD) | GCY61 | 10.2017 | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwHn08LqsLOQ5qC4suK7sr-ri4yS4-zh4PLd7qagk4ebn52e28zgiqSgpJWDmovN0Nrn7oCTk5WBmPL097GUqPCwtfHrrNm85IuY8Pn08ePT1tzh7JeX9_jz87_d2ZaX8f719ueOvtGxk4P854X2__Gut8GUkJ-Gkfb_8a60wZSA8Y_59PG4-KCk9faDk4eVnvOgory4p_Ho9faUktW0r_f48_CwsqXztqKm-fTxv6e9t_O2orySmPGvAAAAABx1VvE%3D%24&vid=202199&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json
General/Asia (LHD),SAFARI,1979,Y61,verification_required_year_filter_mismatch,202200,SAFARI | General/Asia (LHD) | GCY61 | 10.2017 | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwEsGAk5cE59WmxbLHUDfXRgQEdZKCcqKzkWJW1rWExQVFZVEAcrQW9rb15IUUAGGxEsJUtYWF5KUzk_PHpfYzt7fjogZxJ3L0BTOzI_OigYHRcqJ1xcPDM4OHQWEl1cOjU-PSxFdRp6WEg3LE49NDplfApfW1RNWj00OmV_ClNLOkQyPzpzM2tvPj1IWExeVThraXdzbDojPj1fWR5_ZDwzODt7eW44fWliMj86dGx2fDh9aXdZUzpkAAAAAD_LDbo%3D%24&vid=202200&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json
General/Asia (LHD),SAFARI,1979,Y61,verification_required_year_filter_mismatch,202201,SAFARI | General/Asia (LHD) | GCY61 | 10.2017 | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwEIPC1FeH1Fd2h9XgcVDlBEZGN9DAMODx0yAUlPfGh0cHJxNCMPZUtPS3psdWQiPzUIAW98fHpudx0bGF57Rx9fWh4EQzZTC2R3HxYbHgw8OTMOA3h4GBccHFAyNnl4HhEaGQhhUT5efGwTCGoZEB5BWC5pb3gfFhseCDwsJRhmEB0YUkgcWU1TanpufHcZEB5BAAIYARwffXhlCFJPXRoZWVtMGQYeUEFRGFZOVF4ZBh5BKj0YRgAAAADz2uOD%24&vid=202201&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json
General/Asia (LHD),SAFARI,1979,Y61,verification_required_year_filter_mismatch,202202,SAFARI | General/Asia (LHD) | GCY61 | 10.2017 | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwHY7P3vrbLfj62M39ye9ICUtLOt3NPe383i0ZmfrLikoKKh5PPftZufm6q8pbTy7-XY0b-srKq-p83LyI6rl8-Pis7Uk-aD27Snz8bLztzs6ePe06ioyMfMzIDi5qmozsHKydixge6OrLzD2LrJwM6RiP65v6jPxsvO2Ozw9ci2wM3IgpjMiZ2Duqq-rKfJwM6R0NLI0czPrai12IKfjcrJiYucydbOgpGByIaehI7J1s6R-u3IlgAAAABrmWuC%24&vid=202202&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json
General/Asia (LHD),SAFARI,1979,Y61,verification_required_year_filter_mismatch,202203,SAFARI | General/Asia (LHD) | GCY61 | 10.2017 | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGkkIGo2_rA3s_k0tmk8fzoyM_RoK-io7GereXj0MTY3N7dmI-jyefj59bA2ciOk5mkrcPQ0NbC27G3tPLX67Pz9rKo75r_p8jbs7q3sqCQlZ-ir9TUtLuwsPyemtXUsr22taTN_ZLyxd6_qca1vLLt9ILFw9SzureypJCAibTKvLG0_uSw9eH_xtbC0Nu1vLLtrK60rbCz0dTJpP7j8ba19ffgtaqy--39tPri-PK1qrLthpG06gAAAACX9JOf%24&vid=202203&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json
General/Asia (LHD),SAFARI,1979,Y61,verification_required_year_filter_mismatch,202211,SAFARI | HARDTOP | TB48DE | AD | General/Asia (LHD) | Y61 | 06.2011 | AREA:MIDDLE EAST AREA; SEAT TYPE:2ND FWD FACING(9710-0912) | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwExBRRwMnVKNlZVSWsiHWl9XVpENTo3NiQLOHB2RVFNSUtIDRo2XHJ2ckNVTF0bBgwxOFZFRUNXTiQiIWdCfiZmYyc9eg9qMl1OJi8iJzUFAAo3OkFBIS4lJWkLBUYgKSQhNlo1CXsOVEYnKCMgMFgbEGovIicyXENRJQd4aCFrcSY5IidXGwYJTiApJCFvdiVgdGpaNDQmLyInYjwiajkiNDYyLiUlNyYhZyA_JCFFSSUnAAAAAJjp8CQ%3D%24&vid=202211&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json
General/Asia (LHD),SAFARI,1979,Y61,verification_required_year_filter_mismatch,202205,SAFARI | HARDTOP | TB48DE | AD | General/Asia (LHD) | Y61 | 06.2011 | AREA:MIDDLE EAST AREA; SEAT TYPE:2ND FWD 5PASSENGER(0912-) | ,https://partsouq.com/en/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwG7j56n4P__w7rBuNmik-P319DOv7C9vK6Bsvr8z9vHw8HCh5C81vj8-MnfxteRjIa7stzPz8ndxK6oq-3I9Kzs6a238IXguNfErKWorb-PioC9sMvLq6Svr-OBj8yqo66rvNC_g_GE3qe63qukr6_lgYPNqqOuq77QzIT8n6Woref9qrWt8o6D28nCrKWoreCj_Pipqta4uKqjrfK7pP-qta64ur6h8Pyv--HrrLOorcqc_L8AAAAAhpzLtg%3D%3D%24&vid=202205&q=,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\navigation\patrol_general_asia_lhd_incremental_discovery.json
