extract_id,generation,market,status,discovered_units,extracted_units,part_rows,diagrams,failures,vehicle,file
Y60_1988_201206,Y60,General/Asia (LHD),complete,213,213,5275,213,0,SAFARI | HIGH ROOF | TB42S | STD | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_201206_General_Asia_LHD_HIGH_ROOF_TB42S_STD.progressive.json
Y60_1988_201207,Y60,General/Asia (LHD),complete,261,261,9474,261,0,SAFARI | HIGH ROOF | TB42S | STD | General/Asia (LHD) | Y60 | 08.1987 | 09.1999 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_201207_General_Asia_LHD_HIGH_ROOF_TB42S_STD.progressive.json
Y60_1988_201209,Y60,General/Asia (LHD),complete,258,258,6714,257,0,SAFARI | HIGH ROOF | TD42 | STD | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_201209_General_Asia_LHD_HIGH_ROOF_TD42_STD.progressive.json
Y60_1988_201328,Y60,General/Asia (LHD),complete,232,232,692,226,0,SAFARI | HIGH ROOF WAGON | TB42S | DX | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_201328_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.progressive.json
Y60_1988_201330,Y60,General/Asia (LHD),complete,216,216,899,206,0,SAFARI | HIGH ROOF WAGON | TB42S | DX | General/Asia (LHD) | Y60 | 08.1987 | 09.1999 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_201330_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.progressive.json
Y60_1988_201334,Y60,General/Asia (LHD),complete,227,227,454,227,0,SAFARI | HIGH ROOF WAGON | TB42S | DX | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_201334_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.progressive.json
Y60_1988_201335,Y60,General/Asia (LHD),complete,253,253,506,253,0,SAFARI | HIGH ROOF WAGON | TB42S | DX | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_201335_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_DX.progressive.json
Y60_1988_201339,Y60,General/Asia (LHD),complete,55,55,110,55,0,SAFARI | HIGH ROOF WAGON | TB42S | STD | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_201339_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_STD.progressive.json
Y60_1988_201340,Y60,General/Asia (LHD),complete,255,255,614,253,0,SAFARI | HIGH ROOF WAGON | TB42S | STD | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_201340_General_Asia_LHD_HIGH_ROOF_WAGON_TB42S_STD.progressive.json
Y60_1988_201350,Y60,General/Asia (LHD),complete,261,261,7111,257,0,SAFARI | HIGH ROOF WAGON | TD42 | DX | General/Asia (LHD) | Y60 | 08.1987 | 09.1999 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_201350_General_Asia_LHD_HIGH_ROOF_WAGON_TD42_DX.progressive.json
Y60_1988_201356,Y60,General/Asia (LHD),complete,70,70,2298,70,0,SAFARI | HIGH ROOF WAGON | TD42 | STD | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_201356_General_Asia_LHD_HIGH_ROOF_WAGON_TD42_STD.progressive.json
Y60_1988_201358,Y60,General/Asia (LHD),complete,264,264,7081,264,0,SAFARI | HIGH ROOF WAGON | TD42 | STD | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_201358_General_Asia_LHD_HIGH_ROOF_WAGON_TD42_STD.progressive.json
Y60_1988_202145,Y60,General/Asia (LHD),complete,251,251,502,251,0,SAFARI | HARDTOP | TB42S | DX | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_202145_General_Asia_LHD_HARDTOP_TB42S_DX.progressive.json
Y60_1988_202148,Y60,General/Asia (LHD),complete,250,250,526,250,0,SAFARI | HARDTOP | TB42S | DX | General/Asia (LHD) | Y60 | 08.1987 | 09.1999 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_202148_General_Asia_LHD_HARDTOP_TB42S_DX.progressive.json
Y60_1988_202149,Y60,General/Asia (LHD),complete,259,259,518,259,0,SAFARI | HARDTOP | TB42S | DX | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_202149_General_Asia_LHD_HARDTOP_TB42S_DX.progressive.json
Y60_1988_202169,Y60,General/Asia (LHD),complete,261,261,550,261,0,SAFARI | HARDTOP | TB42S | STD | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_202169_General_Asia_LHD_HARDTOP_TB42S_STD.progressive.json
Y60_1988_202174,Y60,General/Asia (LHD),complete,276,276,572,276,0,SAFARI | HARDTOP | TB42S | STD | General/Asia (LHD) | Y60 | 08.1987 | 09.1999 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_202174_General_Asia_LHD_HARDTOP_TB42S_STD.progressive.json
Y60_1988_202175,Y60,General/Asia (LHD),complete,259,259,518,259,0,SAFARI | HARDTOP | TB42S | STD | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_202175_General_Asia_LHD_HARDTOP_TB42S_STD.progressive.json
Y60_1988_202354,Y60,General/Asia (LHD),complete,270,270,707,263,0,SAFARI | HARDTOP | TD42 | DX | General/Asia (LHD) | Y60 | 08.1987 | 09.1999 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_202354_General_Asia_LHD_HARDTOP_TD42_DX.progressive.json
Y60_1988_202365,Y60,General/Asia (LHD),complete,240,240,711,223,0,SAFARI | HARDTOP | TD42 | STD | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_202365_General_Asia_LHD_HARDTOP_TD42_STD.progressive.json
Y60_1988_209840,Y60,General/Asia (LHD),complete,242,242,5754,242,0,SAFARI | PICKUP A-CHASSIS | TB42S | STD | General/Asia (LHD) | Y60 | 08.1987 | 10.1991 | ,C:\Users\safwa\Documents\Codex\2026-06-26\you-are-a-senior-nissan-epc\sources\partsouq\full_patrol_all_iab\Y60_1988_209840_General_Asia_LHD_PICKUP_A-CHASSIS_TB42S_STD.progressive.json
