"plate_code","plate_title_en","unit_url","has_diagram","part_rows","status"
"271A 001","COOLING UNIT; FRONT COOLING UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24%2AKwFxRVRsCXBzARMHCnBqJCk9HRoEdXp3dmRLeDA2BRENCQsITVp2HDI2MgMVDB1bRkxxeBUFFxAKC2R3YScCPmY3YH9lWTYkYS8iJ2F4HmVfNlU-PDAtJwI-ZXd9bGF4c3d7bmcqfXcqeWAAZm9gMCQ4LipxdXQFY3J1djhpdjUrIQQ4YCAmOC4oGGB0G3EQChA4OChhcBoSCHdzA182JGNgdhsCFQFlNjQqdx0CBwBgaWc4IVcQB2doY2BzGC9VXGEfaWRhKzFlIDQqEwMXBQ5gaWc4eXtheGVmGnR3ZTY0KiYkM2Z5YndrOjZlMSshZnliZwBWNnUAAAAAp8rXGg%3D%3D%24&vid=189471&cid=5&uid=260598&q=","False","0","Verification Required"
"271A 002","COOLING UNIT; RR COOLING UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24%2AKwHB9eTcucDDsaO3usDalJmNraq0xcrHxtT7yICGtaG9ubu4_erGrIKGgrOlvK3r9vzByKW1p6C6u9TH0ZeyjtaH0M_V6YaU0Z-Sl9HIrtXvhuWOjICdl7KO1cfN3NHIw8fL3teazceaydCw1t_QgJSInprBxcS108LFxYjZxoWbkbSI0JCWiJ6YqNDEq8GguqCIiJjRwKqiuMfDs--GlNPQxquypbHVhoSax62yt7DQ2deIkeegt9fY09DDqJ_l7NGv2dTRm4HVkISao7Ontb7Q2deIycvRyNXWqsTH1YaEmpaUg9bJ0sfbiobVgZuR1snS17DmhsUAAAAA7k7uqw%3D%3D%24&vid=189471&cid=5&uid=260599&q=","False","0","Verification Required"
"271A 003","COOLING UNIT; RR AIR COND UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24*KwERJTQMaRATYXNnahAKREldfXpkFRoXFgQrGFBWZXFtaWtoLToWfFJWUmN1bH07JiwRGHVld3BqawQXAUdiXgZXAB8FOVZEAU9CRwEYfgU_VjVeXFBNR2JeBRcdDAEYExcbDgdKHRdKGQBgBg8AUERYTkoRFRRlAxIVFFgJFlVLQWRYAEBGWE5IeAAUexFwanBYWEgBEHpyaBcTYz9WRAMAFntidWEFVlRKF31iZ2AACQdYQTdwZwcIAwATeE81PAF_CQQBS1EFQFRKc2N3ZW4ACQdYGRsBGAUGehQXBVZUSkZEUwYZAhcLWlYFUUtBBhkCB2A2VhUAAAAA1Wz-HQ%3D%3D%24&vid=189471&cid=5&uid=260600&q=&__cf_chl_rt_tk=89SVGiwTB4TkbygVNoKvh7IwRULED_cBEIwTqnG2ji4-1782775152-1.0.1.1-PU9l8PqDvWSAqVT8DNqBEaV.2MOTwf_9mbZNtqHr764","False","0","Verification Required"
"271A 004","COOLING UNIT; RR AIR COND UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24*KwHv28ryl-7tn42ZlO70urejg4Sa6-Tp6PrV5q6om4-Tl5WW08TogqyorJ2LkoPF2NLv5oubiY6Ulfrp_7mcoPip_uH7x6i6_7G8uf_mgPvBqMugoq6zuZyg--nj8v_m7enl8Pm04-m05_6e-PH-rrqmsLTv6-qb_ezr7ab36Ku1v5qm_r64prC2hv7qhe-OlI6mprb_7oSMluntncGouv3-6IWci5_7qKq06YOcmZ7-9_mmv8mOmfn2_f7thrHLwv-B9_r_ta_7vqq0jZ2Jm5D-9_mm5-X_5vv4hOrp-6iqtLi6rfjn_On1pKj7r7W_-Of8-Z7IqOsAAAAAWg82Fg%3D%3D%24&vid=189471&cid=5&uid=260601&q=&__cf_chl_rt_tk=un_E8iuCULW85hU9XgQsfX_QzJMcLLVDQJ9tWwHyHyQ-1782775155-1.0.1.1-W49hUYiVP7mpA5lejQTNEP1q80Tow1NFFC2MI_YmHrQ","False","0","Verification Required"
"271A 005","COOLING UNIT; RR COOLING UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24*KwEeKjsDZh8cbnxoZR8FS0ZScnVrGhUYGQskF19Zan5iZmRnIjUZc11ZXWx6Y3I0KSMeF3pqeH9lZAsYDkhtUQlYDxAKNllLDkBNSA4XcQowWTpRU19CSG1RChgSAw4XHBgUAQhFEhhFFg9vCQAPX0tXQUUeGhtqDB0aHVcGGVpETmtXD09JV0FHdw8bdB5_ZX9XV0cOH3V9ZxgcbDBZSwwPGXRtem4KWVtFGHJtaG8PBghXTjh_aAgHDA8cd0A6Mw5wBgsORF4KT1tFfGx4amEPBghXFhQOFwoJdRsYCllbRUlLXAkWDRgEVVkKXkROCRYNCG85WRoAAAAApU4FHA%3D%3D%24&vid=189471&cid=5&uid=260602&q=&__cf_chl_rt_tk=9b4F_CA4Gbb58Ptx_dhLPdkoFyoFORDYsAr5V70WpR8-1782775157-1.0.1.1-aziGRLEvwh2zAeMfM7_QLnIsC93WxYrsk2Ui3anWO80","False","0","Verification Required"
"271A 006","COOLING UNIT; FRONT COOLING UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24*KwFVYXBILVRXJTcjLlROAA0ZOT4gUV5TUkBvXBQSITUpLS8saX5SOBYSFicxKDl_YmhVXDEhMzQuL0BTRQMmGkITRFtBfRIARQsGA0VcOkF7EnEaGBQJAyYaQVNZSEVcV1NfSkMOWVMOXUQkQktEFAAcCg5VUVAhR1ZRVRxNUhEPBSAcRAQCHAoMPERQP1U0LjQcHAxFVD42LFNXJ3sSAEdEUj8mMSVBEhAOUzkmIyRETUMcBXM0I0NMR0RXPAtxeEU7TUBFDxVBBBAONyczISpETUMcXV9FXEFCPlBTQRIQDgIAF0JdRlNPHhJBFQ8FQl1GQyRyElEAAAAAF19PUA%3D%3D%24&vid=189471&cid=5&uid=260603&q=&__cf_chl_rt_tk=p.CjWU_Na7j7npKmcQXbFRHioctmz.DXgFTW6J1kwfs-1782775159-1.0.1.1-YPjWTrqvpg5C60.OZWDwD9pQg58zUxkkrv3GGVk24Qw","False","0","Verification Required"
"271A 007","COOLING UNIT; FRONT COOLING UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24%2AKwGBtaSc-YCD8eP3-oCa1NnN7er0hYqHhpS7iMDG9eH9-fv4vaqG7MLGwvPl_O2rtryBiOX15-D6-5SHkdfyzpbHkI-VqcbUkd_S15GI7pWvxqXOzMDd1_LOlYeNnJGIg4eLnpfajYfaiZDwlp-QwNTI3tqBhYT1k4KFgMiZhsXb0fTIkNDWyN7Y6JCE64Hg-uDIyNiRgOri-IeD86_G1JOQhuvy5fGVxsTah-3y9_CQmZfI0afg95eYk5CD6N-lrJHvmZSR28GV0MTa4_Pn9f6QmZfIiYuRiJWW6oSHlcbE2tbUw5aJkoebysaVwdvRlomSl_CmxoUAAAAAzS-3pQ%3D%3D%24&vid=189471&cid=5&uid=260604&q=","False","0","Verification Required"
"271A 008","COOLING UNIT; RR AIR COND UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24%2AKwE1ARAoTTQ3RVdDTjQuYG15WV5AMT4zMiAPPHRyQVVJTU9MCR4yWHZydkdRSFkfAgg1PFFBU1ROTyAzJWNGeiJzJDshHXJgJWtmYyU8WiEbchF6eHRpY0Z6ITM5KCU8NzM_KiNuOTNuPSREIiskdGB8am41MTBBJzYxO3wtMnFvZUB8JGRifGpsXCQwXzVUTlR8fGwlNF5WTDM3RxtyYCckMl9GUUUhcnBuM1lGQ0QkLSN8ZRNUQyMsJyQ3XGsRGCVbLSAlb3UhZHBuV0dTQUokLSN8PT8lPCEiXjAzIXJwbmJgdyI9JjMvfnIhdW9lIj0mI0QScjEAAAAA04L0Xg%3D%3D%24&vid=189471&cid=5&uid=260605&q=","False","0","Verification Required"
"271A 009","COOLING UNIT; RR COOLING UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24%2AKwHC9uffusPAsqC0ucPZl5qOrqm3xsnExdf4y4OFtqK-uri7_unFr4GFgbCmv67o9f_Cy6a2pKO5uNfE0pSxjdWE08zW6oWX0pyRlNLLrdbsheaNj4OelLGN1sTO39LLwMTI3dSZzsSZytOz1dzTg5eLnZnCxse20MHGzYvaxYaYkreL05OVi52bq9PHqMKjuaOLi5vSw6mhu8TAsOyFl9DTxaixprLWhYeZxK6xtLPT2tSLkuSjtNTb0NPAq5zm79Ks2tfSmILWk4eZoLCktr3T2tSLysjSy9bVqcfE1oWHmZWXgNXK0cTYiYXWgpiS1crR1LPlhcYAAAAAUIDYFg%3D%3D%24&vid=189471&cid=5&uid=260606&q=","False","0","Verification Required"
"271A 010","COOLING UNIT; FRONT COOLING UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24%2AKwGzh5auy7Kxw9HFyLKo5uv_39jGt7i1tKaJuvL0x9PPy8nKj5i03vD08MHXzt-ZhI6zutfH1dLIyaa1o-XA_KT1or2nm_Tmo-3g5aO63Ked9Jf8_vLv5cD8p7W_rqO6sbW5rKXov7Xou6LCpK2i8ub67Oizt7bHobC2tfqrtPfp48b6ouLk-uzq2qK22bPSyNL6-uqjstjQyrWxwZ305qGitNnA18On9Pbotd_AxcKiq6X645XSxaWqoaKx2u2XnqPdq6aj6fOn4vbo0cHVx8yiq6X6u7mjuqek2La1p_T26OTm8aS7oLWp-PSn8-njpLugpcKU9LcAAAAAYw6MeA%3D%3D%24&vid=189471&cid=5&uid=260607&q=","False","0","Verification Required"
"271A 011","COOLING UNIT; FRONT COOLING UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24%2AKwHh1cT8meDjkYOXmuD6tLmtjYqU5ern5vTb6KCmlYGdmZuY3crmjKKmopOFnI3L1tzh6IWVh4Cam_Tn8beSrvan8O_1yaa08b-yt_HojvXPpsWurKC9t5Ku9eft_PHo4-fr_ve67ee66fCQ9v_woLSovrrh5eSV8-Lk5qj55qW7sZSo8LC2qL64iPDki-GAmoCoqLjx4IqCmOfjk8-mtPPw5ouShZH1pqS6542Sl5Dw-feosceAl_f48_DjiL_FzPGP-fTxu6H1sKS6g5OHlZ7w-feo6evx6PX2iuTn9aakura0o_bp8uf7qqb1obux9uny95DGpuUAAAAAgwEB_g%3D%3D%24&vid=189471&cid=5&uid=260608&q=","False","0","Verification Required"
"271A 012","COOLING UNIT; RR AIR COND UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24%2AKwGumouz1q-s3szY1a-1-_biwsXbqqWoqbuUp-_p2s7S1tTXkoWpw-3p7dzK08KEmZOup8rayM_V1Luovvjd4bnov6C6hun7vvD9-L6nwbqA6Yrh4-_y-N3huqiis76nrKiksbj1oqj1pr_fubC_7_vn8fWuqqvavK2rque2qer0_tvnv__55_H3x7-rxK7P1c_n5_e-r8XN16is3IDp-7y_qcTdyt666ev1qMLd2N-_trjn_ojP2Li3vL-sx_CKg77Atru-9O66_-v1zNzI2tG_trjnpqS-p7q5xauouunr9fn77Lmmvai05em67vT-uaa9uN-J6aoAAAAA0EKj8Q%3D%3D%24&vid=189471&cid=5&uid=260609&q=","False","0","Verification Required"
"271A 013","COOLING UNIT; RR COOLING UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24%2AKwFEcGFZPEVGNCYyP0VfERwIKC8xQE9CQ1F-TQUDMCQ4PD49eG9DKQcDBzYgOShuc3lETSAwIiU_PlFCVBI3C1MCVUpQbAMRVBoXElRNK1BqA2ALCQUYEjcLUEJIWVRNRkJOW1IfSEIfTFU1U1pVBRENGx9EQEEwVkdBQQ1cQwAeFDENVRUTDRsdLVVBLkQlPyUNDR1URS8nPUJGNmoDEVZVQy43IDRQAwEfQig3MjVVXFINFGIlMlJdVlVGLRpgaVQqXFFUHgRQFQEfJjYiMDtVXFINTE5UTVBTL0FCUAMBHxMRBlNMV0JeDwNQBB4UU0xXUjVjA0AAAAAAO19kEw%3D%3D%24&vid=189471&cid=5&uid=260610&q=","False","0","Verification Required"
"271A 014","COOLING UNIT; RR COOLING UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24%2AKwHT5_bOq9LRo7GlqNLIhoufv7im19jV1Mbp2pKUp7Ovq6mq7_jUvpCUkKG3rr_55O7T2rentbKoqcbVw4WgnMSVwt3H-5SGw42AhcPavMf9lPecnpKPhaCcx9XfzsPa0dXZzMWI39WI28KixM3CkoaajIjT19anwdDW0ZrL1JeJg6aawoKEmoyKusLWudOyqLKamorD0riwqtXRof2UhsHC1Lmgt6PHlJaI1b-gpaLCy8Wag_WypcXKwcLRuo33_sO9y8bDiZPHgpaIsaG1p6zCy8Wa29nD2sfEuNbVx5SWiISGkcTbwNXJmJTHk4mDxNvAxaL0lNcAAAAApy3vWw%3D%3D%24&vid=189471&cid=5&uid=260611&q=","False","0","Verification Required"
"271A 015","COOLING UNIT; RR AIR COND UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24%2AKwGbr76G45qZ6_nt4JqAzsPX9_Dun5CdnI6hktrc7_vn4-Hip7Cc9tjc2On_5vexrKabkv_v_frg4Y6di83o1IzdipWPs9zOi8XIzYuS9I-13L_U1trHzejUj52XhouSmZ2RhI3Al53Ak4rqjIWK2s7SxMCbn57viZiemNKDnN_By-7SisrM0sTC8oqe8Zv64PrS0sKLmvD44p2Z6bXczomKnPHo_-uP3N7Anffo7eqKg43Sy7367Y2CiYqZ8sW_tov1g46LwduPyt7A-en97-SKg43Sk5GLko-M8J6dj9zewMzO2YyTiJ2B0NyP28HLjJOIjeq83J8AAAAA8E7ulQ%3D%3D%24&vid=189471&cid=5&uid=260612&q=","False","0","Verification Required"
"272A 001","CONTROL UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24%2AKwGzh5auy7Kxw9HFyLKo5uv_39jGt7i1tKaJuvL0x9PPy8nKj5i03vD08MHXzt-ZhI6zutfH1dLIyaa1o-XA_KT1or2nm_Tmo-3g5aO63Ked9Jf8_vLv5cD8p7W_rqO6sbW5rKXov7Xou6LCpK2i8ub67Oizt7XHobC3tPqrtPfp48b6ouLk-uzq2qK22bPSyNL6-uqjstjQyrWxwZ305qGitNnA18On9Pbotd_AxcKiq6X645XSxaWqoaKx2u2XnqPdq6aj6fOn4vbo0cHVx8yiq6X6u7mjuqek2La1p_T26OTm8aS7oLWp-PSn8-njpLugpcKU9LcAAAAA-IUM9g%3D%3D%24&vid=189471&cid=5&uid=260614&q=","False","0","Verification Required"
"272A 002","CONTROL UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24*KwHj18b-m-Lhk4GVmOL4truvj4iW5-jl5PbZ6qKkl4Ofm5ma38jkjqCkoJGHno_J1N7j6oeXhYKYmfbl87WQrPSl8u33y6S2872wtfPqjPfNpMesrqK_tZCs9-Xv_vPq4eXp_PW47-W46_KS9P3yoraqvLjj5-WX8eDn56r75Ke5s5aq8rK0qry6ivLmieOCmIKqqrrz4oiAmuXhkc2ktvHy5ImQh5P3pKa45Y-QlZLy-_Wqs8WClfX68fLhir3HzvON-_bzuaP3sqa4gZGFl5zy-_Wq6-nz6vf0iObl96SmuLS2ofTr8OX5qKT3o7mz9Ovw9ZLEpOcAAAAAXsiyUg%3D%3D%24&vid=189471&cid=5&uid=260615&q=&__cf_chl_rt_tk=CDCu_h3cvaWSaNXwko_n4DBx6SrpOAi8fvd09Ff6GXs-1782775187-1.0.1.1-w1cirBJHfD5AciHiJaSJczW8DmetHTkGOzDQ2R59TXc","False","0","Verification Required"
"272A 003","CONTROL UNIT","https://partsouq.com/en/catalog/genuine/unit?c=Nissan&ssd=%24%2AKwHp3cz0kejrmYufkujyvLGlhYKc7eLv7vzT4KiunYmVkZOQ1cLuhKquqpuNlIXD3tTp4I2dj4iSk_zv-b-apv6v-Of9wa68-be6v_nghv3Hrs2mpKi1v5qm_e_l9Png6-_j9v-y5e-y4fiY_vf4qLygtrLp7e-d--rt7KDx7q2zuZyg-Li-oLawgPjsg-mIkoigoLD56IKKkO_rm8euvPv47oOajZn9rqyy74Wan5j48f-guc-In__w-_jrgLfNxPmH8fz5s6n9uKyyi5uPnZb48f-g4eP54P3-guzv_a6ssr68q_7h-u_zoq79qbO5_uH6_5jOru0AAAAAWhzypQ%3D%3D%24&vid=189471&cid=5&uid=260616&q=","False","0","Verification Required"
