body_style,catalog_market,catalog_scope,detail_status,engine,filter_model,grade_or_frame,market,model_code,name,options,production_from,production_to,source_url,vehicle_url,verification_note
HARDTOP 6 SEATER,Australia (RHD),Nissan Patrol 160 / pre-1988 generation,VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,L28,SAFARI,DX,Australia (RHD),160,SAFARI,,11.1979,07.1989,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGarr-y6_iX8J_h_PmCmMLW9vHvnpGcnY-gk9vd7vrm4uDjprGd99nd2ej-5_awraeak_3u7uj85Y-Jiszp1Y3NyIyW0aTBmfbm-4b6mI7d38Ga9uKdkIuCjNPMvOzxjIOIi5rzvKvN7pyMg4iLm_Oit6z6_YzyhImMxYXd2YiL_u766OOO3d_BxdqMlYiLn5rB3c-Ii8vJ3ouUjMXTw4rE3MbMi5SM076xitQAAAAAckWQMQ%3D%3D%24&vid=201272&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
HARDTOP 6 SEATER,Australia (RHD),Nissan Patrol 160 / pre-1988 generation,VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,SD33,SAFARI,DX,Australia (RHD),160,SAFARI,,11.1979,07.1989,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGpnYy43vD6ze_N99C1q_HlxcLcraKvrryToOju3cnV0dPQlYKuxOru6tvN1MWDnpSpoM7d3dvP1ry6uf_a5r7--7-l4pfyqsXVyLXJq73u7PKpxc7YqKm_s-Lu48Texb63ur-rnYGEtdypvre6v6qdn5jUyMm-xra9vau48qG6v8zayNzS4ODwuffuvqG6v670_PK3ur_5_ey_peL957e6v_Hp8_m9-Ozy2si_4QAAAAARMHv4%24&vid=201273&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
HARDTOP 6 SEATER,Australia (RHD),Nissan Patrol 160 / pre-1988 generation,VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,SD33,SAFARI,DX,Australia (RHD),160,SAFARI,,11.1979,07.1989,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGQpLW4w8zCkM3M1s3Lksjc_PvllJuWl4WqmdHX5PDs6OrprLuX_dPX0-L07fy6p62Qmffk5OL274WDgMbj34fHwoac267Lk_zs8YzwkoTX1cuQ_PfhkZCGitvX2v3n_IeOg4aSpLi9jOWRh46DhpOkpqHt8fCH_4-EhJKBy5iDhvXj8eXr2dnJgM7Xh5iDhpfNxcuOg4bAxNWGnNvExYKBydfLx4ac29eo8IHZAAAAABLGLOA%3D%24&vid=201274&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
VAN,Australia (RHD),Nissan Patrol 160 / pre-1988 generation,VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,P40,SAFARI,DX,Australia (RHD),160,SAFARI,,11.1979,07.1989,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwHzx9anlPe9ruyZt_z5oqu_n5iG9_j19ObJ-rK0h5OPi4mKz9j0nrC0sIGXjp_ZxM7z-pSHh4GVjObg46WAvOSkoeX_uM2o8J-R5O3g5ffHxr7x4uvm4_OYgcC0puHi85mMlOmDrbSm4eLymY2PiYK6y6bh4q6y4_rn58jX2ICN5erh4qq2uqyq4_Hx9uPs5-f98Pzj-uf38uzn5_Xk46Xi_ebjgZXn5QAAAADVEc6H%24&vid=210901&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
PICKUP A-CHASSIS,Australia (RHD),Nissan Patrol 160 / pre-1988 generation,VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,SD33,SAFARI,DX,Australia (RHD),160,SAFARI,,11.1979,07.1989,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwEUIDE5dXUQUmVrWXFGPExYeH9hEB8SEwEuHVVTYHRobG5tKD8TeVdTV2ZwaXg-IykUHXNgYGZyawEHBEJnWwNDRgIYXypPF3h0D2cFDAJdQzJ1YxMSBAsAAEwuKX4FDAEEE39vK18rEwUMAQQSf24wPyoEegwBBE5UAEVRT3ZmcmBrBQwCXRweBB0AAxcREABTUU9DQVYDHAcREFNRT0tVSUUEHQAAPiNPWwAAAAAMFdxG%24&vid=209728&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
VAN,Australia (RHD),Nissan Patrol 160 / pre-1988 generation,VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,SD33,SAFARI,DX,Australia (RHD),160,SAFARI,,11.1979,07.1989,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGPu6qVz_n2y8v2_N-D2tfD4-T6i4SJiJq1hs7I--_z9_X2s6SI4szIzP3r8uOluLKPhuj7-_3p8Jqcn9n8wJjY3ZmDxLHUjOPtmJGcmYu7ubKOj5mWnZ6I5qCy1JGcmY7i8e-Xot_UkZyZj-Lw9PejyKuRnJnTyZ6Bmca6t-_99piRnJnUl8jMnZ6KjI2el5nGj5DLnoGahJCbm4mYn9megZqf_embmQAAAADUUgO7%24&vid=210948&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
PICKUP,Australia (RHD),Nissan Patrol 160 / pre-1988 generation,VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,P40,SAFARI,DX,Australia (RHD),160,SAFARI,,11.1979,07.1989,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwETJzZbb0FxTEZualwVBUtff3hmFxgVFAYpGlJUZ3Nva2lqLzgUflBUUGF3bn85JC4TGnRnZ2F1bAYAA0VgXAREQQUfWC1IEH9zBA0ABRcnJl4RAgsGAxN4YSBURgECE3lsdAljTVRGAQISeW1vaWJaK0YBAk5SAxoHByg3OGBtBQoBAkpWWkxKAxERFgMMBwcdEBwDGgcXFQwHBxUEA0UCHQYDYXUHBQAAAABMlnZU%24&vid=209193&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
WAGON,Australia (RHD),Nissan Patrol 160 / pre-1988 generation,VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,L28,SAFARI,DX,Australia (RHD),160,SAFARI,,11.1979,07.1989,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwFmUkNsbCIIADwAECNrUj4qCg0TYm1gYXNcbychEgYaHhwfWk1hCyUhJRQCGwpMUVtmbwESEhQAGXN1djAVKXExNHBqLVg9ZQoFcXh1cGJSTy1sd35zdmYNFFUhM3R3ZgwZAXwWOCEzdHdnDBgaHBcvXjN0dzsndm9ycl1CTRUYcH90dz8jLzk_dmRkY3Z5cnJoZWl2b3JkeHVwPX9qe3ZvcnEVB3AtAAAAAHIPQe4%3D%24&vid=212733&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
HARDTOP 6 SEATER,Australia (RHD),Nissan Patrol 160 / pre-1988 generation,VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,L28,SAFARI,DX,Australia (RHD),160,SAFARI,,11.1979,07.1989,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwFlUUBkDmAyBRwaHxtldz0pCQ4QYW5jYnBfbCQiEQUZHR8cWU5iCCYiJhcBGAlPUlhlbAIRERcDGnB2dTMWKnIyN3NpLls-ZgkZBHkFZ3EiID5lCR1ib3R9cywzQxMOc3x3dGUMQ1QyEWJzfHd0ZAxdSFMFAnMNe3ZzOnoiJnd0AREFFxxxIiA-OiVzand0YGU-IjB3dDQ2IXRrcz82MHd0PCI-MnNpLiJdBXQsAAAAAIW9U4E%3D%24&vid=201271&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
HARDTOP 3 SEATER,Australia (RHD),Nissan Patrol 160 / pre-1988 generation,VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,L28,SAFARI,DX,Australia (RHD),160,SAFARI,,11.1979,07.1989,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwH0wNHhi7GWl6O3ivDy0Ky4mJ-B8P_y8-HO_bWzgJSIjI6NyN_zmbezt4aQiZjew8n0_ZOAgIaSi-Hn5KKHu-OjpuL4v8qv95iIleiU8-Czsa_0mIzz_uXs4r2i0oKf4u3m5fSd0sWjgPPi7ebl9Z3M2cKUk-Kc6ufiq-uzt-blkICUho3gs7Gvq7Ti--bl8fSvs6Hm5aWnsOX64q6poeblrbOvo-L4v7PMlOW9AAAAAG1aIZQ%3D%24&vid=201268&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
