applicable_years_1988_1997,body_style,catalog_market,detail_status,engine,filter_model,grade_or_frame,market,model_code,name,options,production_from,production_to,source_url,vehicle_url,verification_note
"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",WAGON,Australia (RHD),DETAILED_EXTRACT_AVAILABLE,TD42,SAFARI,STD,Australia (RHD),Y60,SAFARI,,08.1987,02.1999,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwFZbXxEBhhaOQwNNVlYWwEVNTIsXVJfXkxjUBgeLTklISMgZXJeNBoeGis9JDVzbmRZUD4tLSs_JkxKSQ8qFk4OC09VEmcCWjU6TkdKT11taGRfWE9AS0heMGFoZElGTU5fNSA7EBAASV8yKl5IQU8QCn9dOk9AS0haMABvDylIMEBLSAQbEAYASTosPionT0MSHk0YSFdMSTNbXxAQAEkPCxpJUE1eBhAASQcfBQ9IV08QfXJJFwAAAABM4yaN%24&vid=214020&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",PICKUP A-CHASSIS,Australia (RHD),DETAILED_EXTRACT_AVAILABLE,TD42,SAFARI,STD,Australia (RHD),Y60,SAFARI,,08.1987,02.1999,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwEGMiMLeGVfB2dGc2dYCF5Kam1zAg0AARM8D0dBcmZ6fnx_Oi0Ba0VBRXRie2osMTsGD2FycnRgeRMVFlB1SRFRVBAKTThdBWpmHHUXHhBPUSBgcQYBFhkSEl48LGBxEB8UFwZvIDddGBUQBmtzBxJBQ10CagFjFhkSElo8TWcafhFpGRISBBddDhUQY3Vnc31PT18WWEERDhUQaVtTXRgVEFZSQxAKTVFHGBUQXkZcVhJXQ111ZxBOAAAAAHTNY84%3D%24&vid=209848&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",PICKUP,Australia (RHD),DETAILED_EXTRACT_AVAILABLE,TD42,SAFARI,STD,Australia (RHD),Y60,SAFARI,,08.1987,02.1999,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGsmImTxPXt4PT08-6EhPTgwMfZqKeqq7mWpe3r2MzQ1NbVkIerwe_r797I0cCGm5GspcvY2N7K07m_vPrf47v7_rqg55L3r8DMu7K_uqiYnZGqrbq1vr2rxZSdkbyzuLuqwNXO5eX1vKrH36u9tLrl_4qtz7q1vr2vxfWa-tK9xbW-vfHu5fP1vM_Zy9_Surbn67jtvaK5vMauquXl9bz6_u-8pbio8OX1vPLq8Pq9orrliIe84gAAAADtYmNB%24&vid=209486&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993,1994,1995,1996,1997",WAGON,Australia (RHD),DETAILED_EXTRACT_AVAILABLE,RB30S,SAFARI,DX/3.0ST,Australia (RHD),Y60,SAFARI,,08.1987,02.1999,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGNuaiX79PAjODk_4KrsdXB4eb4iYaLipi3hMzK-e3x9ff0saaK4M7Kzv_p8OGnurCNhOr5-f_r8piendv-wpra35uBxrPWjuHumpOem4m5uraMjuqak56biLmsrJCNl4js6puXxsrA4PPtmpOem465rsGdkpmaieGM68nQpJ2SmZqI4YvoybvW4pKZmtbKm4HGyqT-7Pj1nZKZmYub1oWem-GJjpuXxsqR2cibgp-MiZfGypnN192ahZ6b-rTKiQAAAACSj3GL%24&vid=213415&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993",HARDTOP,Australia (RHD),DETAILED_EXTRACT_AVAILABLE,TD42,SAFARI,STD,Australia (RHD),Y60,SAFARI,,08.1987,08.1993,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwHI_O3jvI3Mis_Ozp_8_JCEpKO9zMPOz93ywYmPvKi0sLKx9OPPpYuPi7qstaTi__XIwa-8vLqut93b2J67h9-fmt7Eg_aTy6S339bb3sz8-fXOyd7R2tnPofD59djX3N_OpLGqgYGR2M6ju8_Z0N6Bm-7Iq97R2tnLoZH-nrbZodHa2ZWKgZeR2Ku9r7u23tKDj9yJ2cbd2KLKzoGBkdiemovYwdzKj42Tl4mVmdjB3Nzi_5OHAAAAAOYU0DY%3D%24&vid=202366&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993",HARDTOP,Australia (RHD),DETAILED_EXTRACT_AVAILABLE,TD42,SAFARI,STD,Australia (RHD),Y60,SAFARI,,08.1987,08.1993,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGzh5aluOjp5Lb2wd-0j-v_39jGt7i1tKaJuvL0x9PPy8nKj5i03vD08MHXzt-ZhI6zutTHx8HVzKago-XA_KTk4aW_-I3osN_MpK2gpbeHgo61sqWqoaK02ouCjqOsp6S138rR-vrqo7XYwLSiq6X64JW00KWqoaKw2uqF5cOi2qqhou7x-uzqo9DG1MDNpan49Kfyor2mo9mxtfr66qPl4fCjuqew9Pbo7PLu4qO6p6eZhOj8AAAAAKDJEis%3D%24&vid=202368&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993",PICKUP,Australia (RHD),DETAILED_EXTRACT_AVAILABLE,TB42S,SAFARI,STD,Australia (RHD),Y60,SAFARI,,08.1987,08.1993,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwEKPi8CcHNVDV11bW0AJlJGZmF_DgEMDR8wA0tNfmp2cnBzNiENZ0lNSXhud2YgPTcKA21-fnhsdR8ZGlx5RR1dWBwGQTRRCWZqHRQZHA4-OzEMC20dFBkcDz48J3wbEh8aDWFxNU1fGBsLYH4MHBBBTUVnCm4dFBkcCz5dIBd1HGIUGRxVFU1JGBtufmp4cx5NT1FVShwFGBtnClFNXxgbW1lOGwQcU1pfGBtTTVFdHAZBTTJqG0MAAAAAy1wLGg%3D%3D%24&vid=209297&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993,1994",PICKUP A-CHASSIS,Australia (RHD),DETAILED_EXTRACT_AVAILABLE,TB42S,SAFARI,STD,Australia (RHD),Y60,SAFARI,,08.1987,10.1994,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGWorPblcr31sqU85CxlM7a-v3jkp2QkYOsn9fR4vbq7uzvqr2R-9XR1eTy6_q8oauWn_Hi4uTw6YOFhsDl2YHBxICa3ajNlfr2jOWHjoDfwbDw55aR94eOgN_AsPfx5oGIhYCUor67homCgZH65JXf38-Gk_2Q9IeOgN_EsJb2je-G-I6A35qbhp-CgfTk8OGw0cOEh8_Qhp-CgqTF34aJgoHBw9SCx9PdkomCgcnXy8Tfyc-G5PCB2QAAAAAM4nWq%24&vid=209842&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993,1994,1995",WAGON,Australia (RHD),DETAILED_EXTRACT_AVAILABLE,TD42,SAFARI,STD,Australia (RHD),Y60,SAFARI,,08.1987,08.1995,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGSpreA7dLTzszP6suogMre_vnnlpmUlYeom9PV5vLu6ujrrrmV_9HV0eD27_64pa-Sm_Xm5uD07YeBgsTh3YXFwISe2azJkf7xhYyBhJamo6-Uk4SLgIOV-6qjr4KNhoWU_uvw29vLgpT54ZWDioTbwbSW8Yme8IOKhNvAtJLyifSC_IqE256fgpuGhfDg9OW01ceAg8vUgpuGhqDB24KNhoXFx9CGw9falo2Ghc3Tz8DbzcuC4PSF3QAAAADkAtwH%24&vid=214022&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991",WAGON,Australia (RHD),DETAILED_EXTRACT_AVAILABLE,RB30S,SAFARI,STD,Australia (RHD),Y60,SAFARI,,08.1987,10.1991,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGdqbjJyZ3P0uz_8-WSrcXR8fbomZabmoinlNza6f3h5efkobaa8N7a3u_54PG3qqCdlPrp6e_74oiOjcvu0orKz4uR1qPGnvH-ioOOi5mpqqacnvqKg46LmKmrsOuMhYiNmvbmotrIj4yc9-mbi4fW2tLwmPmKg46LnKnKt4Dsi_WDjovCgtrej4z56f3v5Ina2MbC3YuSj4zwncbayI-MzM7ZjJOLx8HIj4zE2sbKi5HW2qX9jNQAAAAAX-kr5A%3D%3D%24&vid=213416&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
