applicable_years_1988_1997,body_style,catalog_market,detail_status,engine,filter_model,grade_or_frame,market,model_code,name,options,production_from,production_to,source_url,vehicle_url,verification_note
"1988,1989,1990,1991,1992,1993",HARDTOP,Australia (RHD),VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,TD42,SAFARI,DX,Australia (RHD),Y60,SAFARI,,08.1987,08.1993,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGpnYyx3uuqw_D3zKuNo_HlxcLcraKvrryToOju3cnV0dPQlYKuxOru6tvN1MWDnpSpoM7d3dvP1ry6uf_a5r7--7-l4pfyqsXWvre6v62dmJSvqL-wu7iuwIaU8re6v6jE28m97uzyrsXbqLm2vb30k-XLuLG8ua3CrZHjkrnHsby58-m9-Ozyy9vP3da4sb_goaO5oL2-wqytve7s8v78676huqqz4u696fP5vqG6v96Q7q0AAAAAJ860JQ%3D%3D%24&vid=202351&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993,1994",WAGON,Australia (RHD),VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,TB42S,SAFARI,DX,Australia (RHD),Y60,SAFARI,,08.1987,10.1994,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGZrbyj4OKd-eSe4MGwscHV9fLsnZKfnoyjkNje7fnl4ePgpbKe9Nre2uv95PWzrqSZkP7t7ev_5oyKic_q1o7Oy4-V0qfCmvX6joeKj52tqKKfmP6Oh4qPnK24uImGjY6f9ez70NDAiZ_y6p-IgY_Qyr-e-oKU-4iBj9DLv5n5gv-J94GP0JWUiZCNjvvr_-6_3syLiMDfiZCNjavK0ImGjY7OzNuNyNzRmIaNjsbYxMvQxsCJ6_-O1gAAAACiy5SQ%24&vid=213702&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993,1994",WAGON,Australia (RHD),VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,TB42S,SAFARI,DX,Australia (RHD),Y60,SAFARI,,08.1987,10.1994,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGsmImQ8uXH9anRr-LwhPTgwMfZqKeqq7mWpe3r2MzQ1NbVkIerwe_r797I0cCGm5GspcvY2N7K07m_vPrf47v7_rqg55L3r8DPu7K_uqiYnZeqrcu7sr-6qZiNjbyzuLuqwNXO5eX1vKrH36u9tLrl_4qrz7ehzr20uuX-iqzMt8q8wrS65aChvKW4u87eytuK6_m-vfXqvKW4uJ7_5byzuLv7-e64_enkrLO4u_Pt8f7l8_W83sq74wAAAACJkDl_%24&vid=213706&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993,1994",WAGON,Australia (RHD),VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,TB42S,SAFARI,STD,Australia (RHD),Y60,SAFARI,,08.1987,10.1994,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwEBNSQMQQVBB114fF4MIVlNbWp0BQoHBhQ7CEBGdWF9eXt4PSoGbEJGQnNlfG0rNjwBCGZ1dXNnfhQSEVdyThZWUxcNSj9aAm1iFh8SFwU1MDoHAGYWHxIXBDU3LHcQGRQRBmp6PkZUExAAa3UHFxtKRk5sBGUWHxIXADVWKxxwF2kfEhdeHkZCExBldWFzeBVGRFpeQRcOExBsAVpGVBMQUFJFEA8XW1RUExBYRlpWFw1KRjlhEEgAAAAArxbSmA%3D%3D%24&vid=213735&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993",WAGON,Australia (RHD),VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,TB42S,SAFARI,STD,Australia (RHD),Y60,SAFARI,,08.1987,08.1993,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGBtaSbxOPi_vTL7f-fh9nN7er0hYqHhpS7iMDG9eH9-fv4vaqG7MLGwvPl_O2rtryBiOb19fPn_pSSkdfyzpbW05eNyr_agu3ilp-Sl4W1sLqHgOaWn5KXhLW3rPeQmZSRhur6vsbUk5CA6_WHl5vKxs7shOWbiuKXm8rGz-yA5pvgkOibysaRx5CPlJHi9OWrqdqfkpfZwJCPl8i9zoOQmZSR19PByN7YgoOZlJHfx96OxsKTkPTmkc8AAAAADwHMAQ%3D%3D%24&vid=213737&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993,1994",WAGON,Australia (RHD),VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,TD42,SAFARI,DX,Australia (RHD),Y60,SAFARI,,08.1987,10.1994,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwERJTQtUXVqXRJ6XBEpIUldfXpkFRoXFgQrGFBWZXFtaWtoLToWfFJWUmN1bH07JiwRGHZlZWN3bgQCAUdiXgZGQwcdWi9KEn1yBg8CBxUlICwXEAcIAwAWeD4sSg8CBxB8Y3EFVlRKFn1jEAEOBQVMK11zDR10AQ4FBU0rWnANdgZ-DgUFEwBKGQIHdGJwZGpYWEgBT1YGGQIHfkxESg8CB0FFVAcdWkVQDwIHSVFLQQVAVEpicAdZAAAAAJn8EtI%3D%24&vid=213972&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993,1994",WAGON,Australia (RHD),VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,TD42,SAFARI,DX,Australia (RHD),Y60,SAFARI,,08.1987,10.1994,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwGzh5aZ67jM1dfixtydpev_39jGt7i1tKaJuvL0x9PPy8nKj5i03vD08MHXzt-ZhI6zutTHx8HVzKago-XA_KTk4aW_-I3osN_QpK2gpbeHgo61sqWqoaK02pyO6K2gpbLezdOn9PbotN_Bs6Osp6fuif_Rr7_Wo6ynp--J-NKv1KTcrKensaLou6Cl1sDSxsj6-uqj7fSku6Cl3O7m6K2gpePn9qW_-Of9raCl6_Pp46fi9ujA0qX7AAAAAMxSvL8%3D%24&vid=213975&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991,1992,1993,1994",HARDTOP,Australia (RHD),VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,TD42,SAFARI,DX,Australia (RHD),Y60,SAFARI,,08.1987,10.1994,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwHM-Onvt7aMnIm1kr3U2pSAoKe5yMfKy9n2xY2LuKywtLa18OfLoY-Lj76osaDm-_HMxau4uL6qs9nf3Jq_g9ubntrAh_KXz6Cz29Lf2sj4_fHKzdrV3t3LpePxl9Lf2s2hsqzYi4mXy6C-zNzT2NiR9oCu3dTZ3MinyPSG99yi1NnclozYnYmXrr6quLPd1NqFxMbcxdjbp8nI2IuJl5uZjtvE387Wh4vYjJac28Tf2rv1i8gAAAAA_tqKiA%3D%3D%24&vid=202353&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991",WAGON,Australia (RHD),VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,TD42,SAFARI,STD,Australia (RHD),Y60,SAFARI,,08.1987,10.1991,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwHT5_adiJCWspWL1I3r_4ufv7im19jV1Mbp2pKUp7Ovq6mq7_jUvpCUkKG3rr_55O7T2rSnp6G1rMbAw4WgnMSEgcXfmO2I0L-wxM3Axdfn4u7V0sXKwcLUuuvi7sPMx8TVv6axmpqKw9W4oNXCy8WagPXXsMXKwcLQuorlhaPCusrBwo6RmoyKw7CmtKCtxcmYlMeSwt3Gw7nR1ZqaisOFgZDD2sfUjZqKw42Vj4XC3cWa9_jDnQAAAABGw5pl%24&vid=214010&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
"1988,1989,1990,1991",HIGH ROOF WAGON,Australia (RHD),VERIFICATION_REQUIRED_FULL_EPC_NOT_EXTRACTED,TB42S,SAFARI,DX,Australia (RHD),Y60,SAFARI,,08.1987,10.1991,https://partsouq.com/ar/catalog/genuine/pick?c=Nissan&model=Australia+%28RHD%29&ssd=%24%2AKwGA2dO5gwAAAAC0YWUN%24&f_model=SAFARI,https://partsouq.com/ar/catalog/genuine/vehicle?c=Nissan&ssd=%24%2AKwHT5_aHrrStlYuYppLp2Yufv7im19jV1Mbp2pKUp7Ovq6mq7_jUvpCUkKG3rr_55O7T2rSnp6G1rMbAw4WgnMSEgcXfmO2I0L-vscPMx8eK6f6j1NW1w8zHx4vp7rnCy8bD1Lik7JSGwcLSuafUxcmYlJy-1bfEzcDF0ueE-c6zxbvNwMWMzJSQwcK3p7OhqseUloiMk8XcwcK-04iUhsHCgoCXwt3FioSGwcKKlIiExd-YlOuzwpoAAAAAM2dgAw%3D%3D%24&vid=201327&q=,Extracted from PartSouq filters; verify against official Nissan EPC before publication.
