file,pages,bytes,blank_count,low_text_count,pages_with_part_numbers,pages_with_arabic,verification_pages,status
Y60 1988.pdf,223,8443239,0,0,176,223,41,PASS
Y60 1989.pdf,220,8368117,0,0,181,220,34,PASS
Y60 1990.pdf,213,8119056,0,0,181,213,27,PASS
Y60 1991.pdf,380,14728708,0,0,330,380,41,PASS
Y60 1992.pdf,356,13778670,0,0,320,356,29,PASS
Y60 1993.pdf,352,13632163,0,0,312,352,31,PASS
Y60 1994.pdf,208,7936509,0,0,183,208,21,PASS
Y60 1995.pdf,198,7447268,0,0,176,198,19,PASS
Y60 1996.pdf,191,7160077,0,0,170,191,17,PASS
Y60 1997.pdf,191,7139870,0,0,170,191,17,PASS
