file,pages,bytes,blank_count,blank_pages,low_text_count,pages_with_part_numbers,pages_with_arabic,replacement_note_pages,status
Y60 1988.pdf,266,8554440,0,[],0,119,266,100,PASS
Y60 1989.pdf,262,8476521,0,[],0,122,262,101,PASS
Y60 1990.pdf,255,8226863,0,[],0,122,255,101,PASS
Y60 1991.pdf,401,14788130,0,[],0,228,401,125,PASS
Y60 1992.pdf,373,13826533,0,[],0,216,373,123,PASS
Y60 1993.pdf,370,13681673,0,[],0,210,370,122,PASS
Y60 1994.pdf,249,8044550,0,[],0,120,249,104,PASS
Y60 1995.pdf,234,7543095,0,[],0,113,234,99,PASS
Y60 1996.pdf,228,7259470,0,[],0,110,228,98,PASS
Y60 1997.pdf,228,7239346,0,[],0,110,228,98,PASS
